Aggregator,AURC,AURC_std
Equally-w. class avg.,0.1535008922393093,0.0038204149352795147
Imbalance-w. class avg.,0.42729481059459484,0.004057270237130234
Mean,0.4378553424696824,0.005250743346785269
Threshold 0.3,0.20098729289850176,0.002776739873804099
Threshold 0.5,0.20320044811717097,0.004788827426919731
Threshold 0.7,0.2594814759537414,0.001661850186665037
Quantile 0.6,0.43795549219239094,0.005325296998043405
Quantile 0.75,0.43830530762301456,0.004421756334437976
Quantile 0.9,0.43637648646254346,0.004035077152870298
Quantile fg. ratio,0.1498957587864475,0.0026050233739495915
Patch 10,0.3695271710657423,0.0045165002023478396
Patch 20,0.42640390330392597,0.006503192472957275
Patch 50,0.4511453245428212,0.006651552479375433
