Aggregator,AURC,AURC_std,EAURC,EAURC_std
GMM,0.5475075511117586,0.015783701014227932,0.16091119188537406,0.012734414560298902
GMM_pixel,0.5597794607340428,0.016232742026844875,0.17318310150765837,0.013082220796692696
GMM_spatial,0.5630296696255407,0.015192260553194382,0.1764333103991563,0.01212858861673477
Threshold 0.7,0.6014467332926594,0.01666314932666478,0.21485037406627486,0.013419326263204608
Threshold 0.5,0.6193404812165304,0.0165122994735076,0.2327441219901459,0.013178648865635315
Quantile fg. ratio,0.642337769652923,0.015476032290167405,0.2557414104265387,0.011810620945107818
Threshold 0.3,0.6550907735922077,0.016529380409244558,0.26849441436582333,0.013100274676073966
Patch 10,0.6564201236384417,0.016805701663437214,0.26982376441205735,0.013475588718843029
Patch 20,0.6657394358778498,0.01629150361360625,0.27914307665146537,0.012861548791924892
Patch 50,0.6691095580937604,0.016494658007856947,0.28251319886737597,0.01306080359001879
Equally-w. class avg.,0.6827904400361551,0.015584818738664382,0.29619408080977067,0.011958092273507817
Quantile 0.9,0.7008492572127992,0.015502337696628756,0.31425289798641476,0.011812189851247167
Quantile 0.75,0.7108259859434432,0.015142385748656293,0.32422962671705857,0.011435632001201672
Quantile 0.6,0.7112692638769244,0.015092801933349564,0.3246729046505399,0.011386820957782817
Mean,0.7114792554684088,0.015066861673089035,0.32488289624202443,0.011352635373599615
Imbalance-w. class avg.,0.7149226891337935,0.014941197885612363,0.328326329907409,0.011174714662273716
