Aggregator,EAURC,EAURC_std
Quantile fg. ratio,0.011272152368429147,0.0
Threshold 0.7,0.013139580311183124,0.0
Threshold 0.5,0.015268084185701924,0.0
Threshold 0.3,0.017043526817307735,0.0
Patch 20,0.021037131372011287,0.0
Quantile 0.9,0.022754268102560104,0.0
Patch 50,0.02623639728199896,0.0
Quantile 0.75,0.026465028262519695,0.0
Patch 10,0.026473345105362454,0.0
Equally-w. class avg.,0.027084322899861263,0.0
Quantile 0.6,0.03015566452076371,0.0
Mean,0.033667373041750125,0.0
Imbalance-w. class avg.,0.03603414179285312,0.0
GMM,0.0470399203299495,0.0
GMM_pixel,0.05910500527485362,0.0
GMM_spatial,0.10402579115797926,0.0
