Aggregator,AURC,AURC_std,EAURC,EAURC_std
GMM,0.5246342798806631,0.014952458825858434,0.14361452108630168,0.012270821985479923
GMM_pixel,0.5317297250323465,0.015274299201932092,0.150709966237985,0.01248518348698181
GMM_spatial,0.5526406012291387,0.015682281651907517,0.17162084243477715,0.013171065571597185
Threshold 0.7,0.5828090970520982,0.017310300030100867,0.2017893382577366,0.01441920705941449
Threshold 0.5,0.6082151237466948,0.017170057232591306,0.22719536495233325,0.014256447622508427
Quantile fg. ratio,0.6251004281199917,0.016832632118046677,0.24408066932563008,0.013507136403529192
Patch 10,0.6411916445226657,0.0163590595901865,0.2601718857283043,0.013355405333546186
Threshold 0.3,0.6510739347203435,0.016331547312386865,0.2700541759259819,0.013278363082019486
Patch 20,0.657246202725466,0.015802966925482432,0.2762264439311043,0.012698603656705948
Patch 50,0.6621187268821446,0.015673027024287214,0.28109896808778295,0.012491227661795395
Equally-w. class avg.,0.6723458180576749,0.01563774611793083,0.2913260592633135,0.012309291202015179
Quantile 0.9,0.6956999730490038,0.014502025213365643,0.3146802142546422,0.011015925948859443
Mean,0.7080684144784954,0.014230060035094505,0.3270486556841338,0.010708024031635566
Quantile 0.6,0.7088773737964973,0.014166800832246007,0.3278576150021357,0.010630445019515588
Quantile 0.75,0.7088869007506771,0.014117119771371475,0.32786714195631567,0.010576475950227055
Imbalance-w. class avg.,0.7107376558016875,0.01420321837495332,0.32971789700732596,0.010636917060377435
