Aggregator,AURC,AURC_std,EAURC,EAURC_std
Quantile fg. ratio,0.4264155756215058,0.006945724517634275,0.017211528652123,0.0030037472369576265
Threshold 0.7,0.42648465634279853,0.007265275574480297,0.017280609373415676,0.0029433821687685443
Patch 20,0.4295376952114401,0.007191233074554615,0.020333648242057342,0.0036685038195108963
Patch 50,0.43132812797957637,0.0072151680947917796,0.022124081010193586,0.003435784055907639
Threshold 0.5,0.4320346287965712,0.0073598297404410965,0.022830581827188386,0.0036989323735793314
Patch 10,0.4345283492909105,0.007652263942168364,0.025324302321527683,0.005190235840235853
Quantile 0.9,0.43533937107879594,0.007594692706422042,0.026135324109413115,0.004098724033178233
GMM,0.43754335553593465,0.006250512515634746,0.028339308566551886,0.0038656975967057174
GMM_pixel,0.43826880350902675,0.007228922280896353,0.029064756539643917,0.004611338158732408
Quantile 0.75,0.43887834972392775,0.007693567872108224,0.02967430275454494,0.004333285585119405
Quantile 0.6,0.43890237743790395,0.007842183197931972,0.029698330468521165,0.004427684352626662
Mean,0.4410503499892673,0.007771051827190294,0.0318463030198844,0.004465493977678181
Equally-w. class avg.,0.4469601159587425,0.007710125733277497,0.0377560689893597,0.005224348758743772
Threshold 0.3,0.4475526708896828,0.006463383272265741,0.0383486239203,0.005129510509213022
GMM_spatial,0.447673245232955,0.008023325705489859,0.03846919826357213,0.006035137073350784
Imbalance-w. class avg.,0.45052730786193296,0.007534569466441387,0.04132326089255014,0.0055397468212293995
