Aggregator,EAURC,EAURC_std
GMM_pixel,0.06422087072229894,0.0
GMM,0.07078016846610748,0.0
GMM_spatial,0.07683392069972236,0.0
Quantile fg. ratio,0.09096256860083554,0.0
Equally-w. class avg.,0.13314891657837605,0.0
Imbalance-w. class avg.,0.13314891657837605,0.0
Patch 10,0.13720624648173646,0.0
Threshold 0.3,0.1438916111803633,0.0
Patch 20,0.1459132564660733,0.0
Patch 50,0.14711099659712312,0.0
Quantile 0.9,0.14717464896685675,0.0
Mean,0.14717745342389962,0.0
Quantile 0.6,0.14717745342389962,0.0
Quantile 0.75,0.14717745342389962,0.0
Threshold 0.5,0.1508156447059123,0.0
Threshold 0.7,0.15528658600631254,0.0
