Aggregator,AURC,AURC_std,EAURC,EAURC_std
GMM_pixel,0.5467734331165416,0.016576557777725938,0.16301865219741515,0.01292110497543157
GMM_spatial,0.5532120905473445,0.015383953430768134,0.16945730962821817,0.011757097247226117
Threshold 0.7,0.5579588081126082,0.011932855908610374,0.1742040271934819,0.006522130768205311
GMM,0.5737946188799897,0.017396247404999468,0.19003983796086324,0.013692496805679473
Threshold 0.5,0.5963232237702032,0.017639893395017772,0.2125684428510767,0.013877213936425783
Threshold 0.3,0.6216079197087815,0.017467504207151364,0.23785313878965522,0.013518225787177793
Equally-w. class avg.,0.6488225045974885,0.017008367819651957,0.2650677236783621,0.012935138532669062
Patch 10,0.6538340157089936,0.01729863638026098,0.2700792347898672,0.013425180081101459
Patch 20,0.6649071502390629,0.016809308074757372,0.2811523693199365,0.012771177686719051
Quantile fg. ratio,0.6662923950008632,0.016701136769771245,0.28253761408173683,0.012434650118559806
Patch 50,0.6709771432337127,0.01680357907219861,0.2872223623145863,0.012785384460273715
Quantile 0.9,0.7051601803889159,0.015920602253418493,0.3214053994697896,0.011621042826933667
Quantile 0.75,0.7102659373994598,0.015799909534355512,0.3265111564803334,0.011533902102517587
Mean,0.7108554927239149,0.015766755441715737,0.3271007118047885,0.011485604445306512
Quantile 0.6,0.7112808637694995,0.01579718063409268,0.3275260828503732,0.01151916557134428
Imbalance-w. class avg.,0.7126150460161786,0.015749053404660446,0.3288602650970522,0.01142588419514126
