,ARC-BC,ARC-Nuc,CAR-CS,LIDC-Mal,LIDC-Tex,LIZ-IG,LIZ-SG,WEED-Hand,WORM-Nem,WORM-Pro,Mean Rank
GMM-F,0.0612089945519639,0.0294328237710454,0.0501348931673301,0.0723228312059622,0.1036735118787001,0.1900398379608632,0.2119315957717057,0.1157059229573302,0.0847314500695793,0.0434088951563019,4.4
QFR,0.0491109706570939,0.0158615568920259,0.0737904043616536,0.0614659516958627,0.1265135378578598,0.2825376140817368,0.3167299318853467,0.1564099910820201,0.0428677893427913,0.0358227225431528,4.5
GMM-I,0.0728009513097287,0.0358263285066556,0.077606656956364,0.0722115623233151,0.1104720977122973,0.1630186521974151,0.2232416557684172,0.1179675012868535,0.076510730150628,0.044142888083739,5.1
BCA,0.0476370286524565,0.021320674339693,0.0313636309193479,0.0669787346080402,0.1377009692631015,0.2650677236783621,0.3507114744869191,0.2269554908215401,0.0742245679164149,0.0700138664187189,5.7
GMM-S,0.0534394951228443,0.0364435875945342,0.0383717272090066,0.0871068696278896,0.0845119206219262,0.1694573096282181,0.2422008632025032,0.1187042787882711,0.0886264272665996,0.0674397861326066,6.1
ATA 0.5,0.0380664515671613,0.0125117138974915,0.0989773464207176,0.151727749736096,0.1120020077720853,0.2125684428510767,0.2988765544168658,0.3392973131601241,0.0519193060943419,0.0799278636200015,7.1
ATA 0.3,0.0420573274641139,0.016154183096033,0.0987381268267378,0.1140920166529698,0.1530278593879124,0.2378531387896552,0.2898766405473873,0.3446803370637451,0.0255865609425402,0.0812138373731605,8.1
PLM 20,0.0807245512260751,0.0273189291023224,0.0984920696965835,0.0727446015958427,0.1539352811966296,0.2811523693199365,0.3117905399516547,0.3384910105799067,0.0893441799918246,0.0529250132898604,8.8
PLM 10,0.1229704711013653,0.0301382362211095,0.0960443586372258,0.0636839630620054,0.1479725882069684,0.2700792347898672,0.2865073141563244,0.3441504311850121,0.1035082907289979,0.0457142792703415,9.0
ICA,0.0976658139718582,0.0415497133280426,0.0633402354716531,0.0669787346080402,0.1377009692631015,0.3288602650970522,0.3558926169372731,0.3390721193565737,0.0742245679164149,0.0700138664187189,9.6
PLM 50,0.0965346732984936,0.0256281919169502,0.0964489141459957,0.0737221668677666,0.1545544930721673,0.2872223623145863,0.317311450453935,0.3408880272447616,0.0773187889202891,0.0638655917895958,10.0
AQA 0.60,0.0816115665785792,0.038155630903556,0.080608452162676,0.0737221668677666,0.1545544930721673,0.3275260828503732,0.3541542700115305,0.3402550521432809,0.0588258270443402,0.0869013791369512,10.7
AQA 0.90,0.0761941889127859,0.0314634501771515,0.0957932839502577,0.0737221668677666,0.1545364868324334,0.3214053994697896,0.3624290890107114,0.3516761411066148,0.0516855318347316,0.08752620394583,10.8
AVG,0.0989695556703449,0.0384632978038689,0.0641597787261592,0.0737221668677666,0.1545544930721673,0.3271007118047885,0.3553175115302469,0.3403668708239313,0.0614099556596133,0.0778701759129306,10.9
AQA 0.75,0.0830324046818463,0.0353020904189897,0.087413938506243,0.0737221668677666,0.1545544930721673,0.3265111564803334,0.3560426274059621,0.3441479346207146,0.0569665087641193,0.0877634364324353,11.1
ATA 0.7,0.0950261078209877,0.0509848073902171,0.1067883011867275,0.151727749736096,0.1120020077720853,0.1742040271934819,0.2935037907599002,0.3480964289330235,0.1084156137979645,0.0933597713055909,11.9
