,ARC-BC,ARC-Nuc,CAR-CS,LIDC-Mal,LIDC-Tex,LIZ-IG,LIZ-SG,WEED-Hand,WORM-Nem,WORM-Pro
BCA,0.0632494338726725,0.0539832206624561,0.0124799071936374,0.0484661986529938,0.0722168904461117,0.0242103581633813,0.0244637498211994,0.0647336030780832,0.0581786015125719,0.0226102664019885
GMM-All,0.0508027965902742,0.0470916566324751,0.0035180113495613,0.0343925978443564,0.0537080879513957,0.0266230435003086,0.0296448424318905,0.0275908076844493,0.0030730952190465,2.6737711109153338e-17
ICA,0.073335424008226,0.047753954549938,0.0170543064920907,0.0504509035049259,0.0715814961144142,0.0235694853105352,0.0278771182075843,0.0571834841917283,0.0576000368314321,0.0214971506794967
GMM-Int,0.054862893212255,0.0577216260534414,0.0196847071168134,0.0347717447131985,0.0486564428915019,0.0258626215936323,0.0264851711772639,0.0414069498842092,0.0109846092471319,1.6467268631127713e-17
QFR,0.0675890945018754,0.045223044294149,0.0232971892422695,0.0483903408281431,0.0528514448663257,0.024935015382159,0.0248250245639547,0.063068303301,0.0642790874098232,0.0309888799382274
GMM-Spa,0.0318708497244838,0.0707972322715121,3.877842313165343e-17,0.0437161252327095,0.0747968528001051,0.0277308676427412,0.0264193220771984,0.0457237989487196,0.0388262783084663,0.0302701273571972
PLM 50,0.0761671194015295,0.0671982579790552,0.0244773652157608,0.0191166429907248,0.0744485092081925,0.0249985282360196,0.0225233236884706,0.0461847542673915,0.0675186965871363,0.0357841539027003
AQA 0.60,0.0718346178128836,0.0719898675485867,0.0225730336554829,0.0197960885624786,0.0783368665550638,0.0237552877611999,0.0208073910198219,0.052670495033075,0.06775298670231,0.0550318601266548
PLM 10,0.0775030008238535,0.0685670435670283,0.0250640796582245,0.0269913901586088,0.0895823004762959,0.0240316386013981,0.0257893323529318,0.0413762956949939,0.0633548117726338,0.0401203239246156
PLM 20,0.0747102387693599,0.0666917075731784,0.025517230780827,0.0185275779231575,0.0811231772055072,0.0247329075979191,0.0225110933308847,0.0439258677046957,0.0693886625987263,0.0421592266882716
AQA 0.75,0.0708121296339338,0.0702406029434946,0.0241642811905398,0.0192781769304338,0.0789405403273576,0.0232579825391511,0.0209421187761889,0.0518133033937509,0.070268411441398,0.0554946974326455
AVG,0.0713076829885523,0.071189837457874,0.0207138576354501,0.0193381370148533,0.0832594932215729,0.0238473641510711,0.022240010106903,0.0558478499572624,0.0693406469968996,0.0524287763074716
AQA 0.90,0.0710852872261908,0.0696652546814543,0.0256461250988079,0.0200656186772191,0.0837519531915074,0.0236314148170584,0.0214217643441034,0.0472671195329381,0.070362335803042,0.0551383566902908
ATA 0.5,0.0713429919663272,0.0613695335155933,0.0219406639432959,0.0534889877626054,0.0747543996302718,0.0255490884636824,0.0283010564739716,0.0459252176749367,0.0670849769445451,0.0477977312256108
ATA 0.3,0.0691945064390656,0.0700960586085961,0.0242046127197707,0.0479495147014133,0.0744681110804704,0.0243266921800227,0.0249127735823989,0.0434288177739666,0.0639360922116324,0.0521105016733754
ATA 0.7,0.0776078105147889,0.0622023465218328,0.0231170535212923,0.0587832926003749,0.0743172470370436,0.0263234802291288,0.0285122174127387,0.0418469363544768,0.0679413115109384,0.0537802137089861
