,ARC-BC,ARC-Nuc,CAR-CS,LIDC-Mal,LIDC-Tex,Mean Rank
GMM-All,0.8246225447939289,0.8381976232721624,0.9968447110244076,0.8595264332852508,0.7005653491202065,4.8
QFR,0.9029791872791356,0.8111997824906374,0.6678996418643931,0.7671796546420377,0.8782945655716664,4.8
GMM-Spa,0.9301624279330578,0.7232743901892889,1.0,0.8279077671388352,0.6970014776293055,5.0
BCA,0.8853695864663682,0.7550230606504724,0.9325113794630656,0.7052449102078784,0.8209587074845343,5.2
ICA,0.8771179671473968,0.7873432635186723,0.889423207196613,0.7020425170093713,0.8207200034303129,5.4
GMM-Int,0.7864873599429716,0.7594187574312741,0.7947938673407887,0.8894493760182433,0.6843063664541909,6.4
AQA 0.90,0.8545911371031418,0.6418608841167011,0.4212462119347374,0.9624975388785568,0.5719423294901959,8.6
PLM 20,0.7761091669148609,0.6309226884354712,0.3883986987724582,0.9628723390371284,0.579753692005814,8.8
AQA 0.75,0.7510196165548613,0.607780075359013,0.6051526526833468,0.9637658743357254,0.5745068446268851,9.0
AQA 0.60,0.7113130252337435,0.6076543805980008,0.6726989492250979,0.9640247902279756,0.5709982344246507,9.4
PLM 50,0.6499058073954125,0.6260575263365709,0.4391358482157554,0.9642259053541296,0.5671891533680287,9.8
AVG,0.6237344164104086,0.5919785940145905,0.7854160873268969,0.9625866439638822,0.5726852594061254,10.2
PLM 10,0.6615610847942544,0.5831964266029714,0.3854772033477807,0.9271572019803656,0.6524008963680046,11.2
ATA 0.5,0.8364560447725315,0.7585847874620395,0.2543754078240455,0.5082887380235188,0.3975110018686726,11.6
ATA 0.3,0.8726159820810826,0.6192062560728977,0.3019004287532876,0.6029893463957997,0.5533953470312643,11.8
ATA 0.7,0.4217980443646523,0.7390008007697922,0.2839527853322282,0.4165144119070842,0.3248538005840796,14.0
