,ARC-BC,ARC-Nuc,CAR-CS,LIDC-Mal,LIDC-Tex,LIZ-IG,LIZ-SG,WEED-Hand,WORM-Nem,WORM-Pro
QFR,0.0078740521520775,0.0032312194713887,0.0061294028515131,0.0061344411097509,0.0401321953219923,0.0118106209451078,0.0123092998686256,0.0180558170809707,0.0087896573173211,0.0060847264904649
GMM-F,0.0101224953175436,0.004166019293228,0.0056443695478928,0.0106465748301461,0.0099387084688953,0.0127344145602989,0.0122527021590958,0.0132371369983608,0.0118499335820781,0.0076485849684677
GMM-I,0.0117013641367023,0.0048070429585647,0.0093615231181386,0.0093440056241101,0.0083304900447112,0.0130822207966926,0.0121634857140043,0.0155249627753149,0.0104840045377367,0.0081143165919155
GMM-S,0.0084611088285882,0.0063178780241021,0.0044735532846705,0.0113426015529058,0.0095181653396166,0.0121285886167347,0.0138305462656015,0.0182786191950369,0.0333935772670039,0.0094763074501683
BCA,0.0071829345740726,0.0037467742271469,0.0062794885155783,0.0121571531954961,0.041105657155838,0.0119580922735078,0.0109216481163112,0.0195065417568013,0.0274460565725167,0.0108008776809154
ATA 0.3,0.011664519540065,0.0047796741585021,0.0082960786129048,0.0309166254528955,0.0411742898058232,0.0131002746760739,0.0121434104249873,0.0191403914731399,0.0078141530239614,0.0115016490156413
ATA 0.5,0.0088377833695138,0.0034719550095243,0.0086228799003602,0.0366860001990083,0.0414045543156534,0.0131786488656353,0.0124634047384872,0.0179449811354236,0.0065110355094281,0.0115770020791117
PLM 10,0.0128791722251691,0.0039936957673427,0.0082003430566079,0.0297871957513353,0.0415692386869549,0.013475588718843,0.0118294385901556,0.0217410876467511,0.0373250519391275,0.0077190703853561
PLM 20,0.0108971672160178,0.0047330673870743,0.0085168952608414,0.0265968520766543,0.0417226324764001,0.0128615487919248,0.0109992324747774,0.0210407105532633,0.0313779440914752,0.0094306508472591
ATA 0.7,0.0198953352943408,0.0029493532203586,0.0092991139414048,0.0369444032209218,0.041313618654508,0.0134193262632046,0.012574131394996,0.0218136816196132,0.0090312543613405,0.0107578652826754
PLM 50,0.0146003389258176,0.0041167526795656,0.0085752001990986,0.0265930211496454,0.0416062989716127,0.0130608035900187,0.0100678056032431,0.0215777308101544,0.0276481758620474,0.0099019089914244
AQA 0.90,0.0099578306391127,0.0039488915571719,0.0084129083340171,0.0266005634363387,0.0416203377833143,0.0118121898512471,0.0099914772844863,0.0265121702932375,0.0232337014865318,0.0161720549328294
ICA,0.0152539676128712,0.0050884108541573,0.0058667636625793,0.0121571531954961,0.041105657155838,0.0111747146622737,0.0093845173989459,0.0271372468636271,0.0274460565725167,0.0108008776809154
AQA 0.75,0.0108153437485282,0.0049676320929205,0.0076751334955444,0.0266005634363387,0.0416200213152413,0.0114356320012016,0.0092673898457812,0.026663811283066,0.0261393980512641,0.0159788870227263
AVG,0.0150761699820544,0.0051190036720542,0.0061022256022742,0.0266005634363387,0.0416200213152413,0.0113526353735996,0.0093837419690563,0.0267719940369168,0.0257848803415657,0.014437081444788
AQA 0.60,0.0111671889441079,0.0050968853286849,0.0073920808653127,0.0266005634363387,0.0416200213152413,0.0113868209577828,0.0092684335343319,0.02674918819314,0.0287598627222884,0.0152734393050239
