,ARC-BC,ARC-Nuc,LIDC-Mal,LIDC-Tex,LIZ-IG,LIZ-SG,Mean Rank
QFR,0.0592563278533518,0.017211528652123,0.0449110644838992,0.0929231987876202,0.24408066932563,0.2725164082208947,3.3333333333333335
GMM-F,0.0659607836238058,0.0283393085665518,0.0664468997795739,0.0641971590722787,0.1436145210863016,0.2132276815127978,5.166666666666667
GMM-S,0.0732676684079965,0.0384691982635721,0.0585221910792407,0.0642904825323696,0.1716208424347771,0.2079263484551,5.833333333333333
GMM-I,0.0821145581310383,0.0290647565396439,0.0681564523129777,0.0663783922348972,0.150709966237985,0.205382334814385,6.166666666666667
PLM 20,0.0697469712560302,0.0203336482420573,0.0613327288480971,0.1240524984365822,0.2762264439311043,0.3361166299295042,7.166666666666667
BCA,0.0532393633748648,0.0377560689893597,0.0539164907957138,0.1084528054974638,0.2913260592633135,0.3345022014194022,7.166666666666667
PLM 10,0.1010538945057924,0.0253243023215276,0.0553105920487535,0.1164684412234702,0.2601718857283043,0.3133627967296177,7.5
ATA 0.5,0.0509400946561508,0.0228305818271883,0.120454630947765,0.1409186506024488,0.2271953649523332,0.2885521237506998,8.333333333333334
ATA 0.3,0.0434172912330344,0.0383486239203,0.0966591138725018,0.124244000416348,0.2700541759259819,0.2744544659240888,8.5
PLM 50,0.0824394823264609,0.0221240810101935,0.0620858538409995,0.1243988235441563,0.2810989680877829,0.3517400735798759,8.833333333333334
AQA 0.90,0.0644320424322626,0.0261353241094131,0.0620705582691828,0.1243988235441563,0.3146802142546422,0.3588996168841369,8.833333333333334
ATA 0.7,0.1313998386971048,0.0172806093734156,0.1204517823944788,0.1463884889119498,0.2017893382577366,0.2823354693984556,9.833333333333334
ICA,0.1251773935892792,0.0413232608925501,0.0539164907957138,0.1084528054974638,0.3297178970073259,0.3729692476761259,11.166666666666666
AQA 0.60,0.0944754644061798,0.0296983304685211,0.0620858538409995,0.1243988235441563,0.3278576150021357,0.3767566858527723,11.666666666666666
AQA 0.75,0.082898632378437,0.0296743027545449,0.0620858538409995,0.1243988235441563,0.3278671419563156,0.3809241925442602,11.666666666666666
AVG,0.126568062670538,0.0318463030198844,0.0620858538409995,0.1243988235441563,0.3270486556841338,0.372204751147058,11.833333333333334
