,ARC-BC,ARC-Nuc,CAR-CS,LIDC-Mal,LIDC-Tex,LIZ-IG,LIZ-SG,WEED-Hand,WORM-Nem,WORM-Pro,Mean Rank
GMM-All,0.814297220428484,0.845325838539102,1.0,0.9169706711898232,0.5468046605900825,0.5530371413088866,0.4542340669308853,0.9338614381373992,0.99204512393208,1.0,5.4
BCA,0.8742105439106052,0.754354285310407,0.9012436765380906,0.6023907745602144,0.6425982241415543,0.6557795210973447,0.7267301512749451,0.6254241348507751,0.687857581184835,0.8562678210553001,5.6
ICA,0.8276030866088517,0.7816998412918297,0.8006600932921228,0.608258960139613,0.6386366219654275,0.6956552968967012,0.6561901654576675,0.6105472572301884,0.6846535239877389,0.8567018562339495,5.9
QFR,0.8469097222540061,0.8080240427588368,0.5620321793979349,0.6036631845526835,0.6161556791476113,0.734168493047138,0.7104810652606373,0.5970927276532316,0.6638752692094373,0.8884052069780674,5.9
GMM-Int,0.8133998316951111,0.7548657598187007,0.8002806308235559,0.9125137382822732,0.580676339257755,0.521321874663995,0.4601585424944822,0.9367799521063682,0.9884082343970844,1.0,6.3
GMM-Spa,0.8388953896276473,0.7331172305084201,1.0,0.6960332088960702,0.5791595863305927,0.512294503373546,0.5170786196101707,0.8855648302874053,0.8212292552322382,0.8729370046747602,6.7
AVG,0.622105170227063,0.6000961289354337,0.7409619679929876,0.9552192569564432,0.4042020344461881,0.7679879692758123,0.7751239440072638,0.3222533229454858,0.498515407737815,0.6467172312011261,8.7
AQA 0.60,0.674611019770643,0.6007578061609651,0.6028766800737178,0.9546101969092762,0.4027896812201111,0.7680388275298912,0.7692903750638047,0.3262548221948534,0.4657737676245805,0.6283300935867424,9.1
PLM 20,0.6632783361934318,0.6212534480234987,0.3682891816414867,0.954752479164442,0.401241872945857,0.6819738794856396,0.6819370934072099,0.5660337873979784,0.6169984104830177,0.803769157033513,9.2
AQA 0.90,0.7152244182801331,0.6076229347428902,0.4377273122561608,0.955391126446257,0.4089883377910696,0.7608282631513983,0.7929579615276325,0.3090533555117076,0.4212288018578074,0.596962516191291,9.3
PLM 50,0.5455182881471781,0.6140296377727683,0.4226088512241909,0.9549452248286702,0.4049439172082258,0.6902095875554648,0.6941069389177895,0.5630159802684745,0.4795925433801594,0.7808401978596087,9.3
AQA 0.75,0.6658124034384121,0.6084559469798191,0.565388943580403,0.953827358942298,0.4045601452866779,0.7666232825830893,0.776975530283189,0.3161384086327751,0.4471864174302719,0.6171067589629357,9.4
PLM 10,0.5012145061088306,0.5850582251253815,0.3531343465789229,0.9021096528107564,0.447758194935098,0.6634963498431622,0.5926101271592478,0.5018668240710275,0.6928369723247526,0.808269902006365,10.5
ATA 0.5,0.8765497807148045,0.821060748469086,0.313438723291947,0.5,0.5,0.5248868223432103,0.6340692870385195,0.4616336568563298,0.4333040709684377,0.3446810708912348,10.5
ATA 0.3,0.8677096521847907,0.7252182296949009,0.5193932303515334,0.6456063728998269,0.3424396319700052,0.6037595065524495,0.6142131068084171,0.4447489024557646,0.4758112433309236,0.4151423365516158,10.9
ATA 0.7,0.5566143668326752,0.5,0.2848631221949676,0.5,0.5,0.5,0.6414696696889582,0.3875333036220853,0.5,0.5,12.9
