feature,mode,auroc,delta
ALL_FEATURES,baseline,0.9999540313754105,0.0
moran,removal,0.999894928858081,-5.9102517329545634e-05
entropy,removal,0.9983881794965341,-0.0015658518788763676
eds,removal,0.7962860269974462,-0.20366800437796428
mean,removal,0.9997862094126232,-0.00016782196278730677
above_threshold_mean_0.3,removal,0.9995724188252462,-0.00038161255016433415
above_threshold_mean_0.5,removal,0.9996731120029186,-0.0002809193724918613
above_threshold_mean_0.7,removal,0.9999387085005472,-1.5322874863277214e-05
above_threshold_mean_0.9,removal,0.9998941991973732,-5.983217803728902e-05
above_threshold_mean_0.95,removal,0.9999277635899307,-2.6267785479761052e-05
above_quantile_mean_0.3,removal,0.9995067493615468,-0.00044728201386368127
above_quantile_mean_0.5,removal,0.9998372856621671,-0.00011674571324338245
above_quantile_mean_0.7,removal,0.9998095585552719,-0.00014447282013863028
above_quantile_mean_0.9,removal,0.9999700839109813,1.6052535570798554e-05
above_quantile_mean_fg_ratio,removal,0.9999868661072602,3.283473184967356e-05
patch_aggregation_10,removal,0.9996767603064575,-0.00027727106895303333
patch_aggregation_20,removal,0.9999883254286757,3.429405326516033e-05
patch_aggregation_40,removal,0.9999708135716893,1.6782196278763983e-05
patch_aggregation_80,removal,0.9999408974826706,-1.3133892739936037e-05
patch_aggregation_100,removal,0.9999525720539949,-1.4593214155977918e-06
"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 255}",removal,0.999862823786939,-9.120758847147581e-05
"class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 255}",removal,0.9998504195549069,-0.00010361182050355744
moran,standalone,0.6495184239328713,-0.3504356074425392
entropy,standalone,0.9291579715432323,-0.07079605983217818
eds,standalone,0.9988704852243706,-0.0010835461510398936
mean,standalone,0.6216877052170741,-0.37826632615833644
above_threshold_mean_0.3,standalone,0.39037504560379427,-0.6095789857716163
above_threshold_mean_0.5,standalone,0.31754031375410435,-0.6824137176213061
above_threshold_mean_0.7,standalone,0.35154834002188984,-0.6484056913535207
above_threshold_mean_0.9,standalone,0.3988051805910252,-0.6011488507843853
above_threshold_mean_0.95,standalone,0.4181721999270339,-0.5817818314483766
above_quantile_mean_0.3,standalone,0.5106501276906239,-0.4893039036847866
above_quantile_mean_0.5,standalone,0.5221773075519883,-0.4777767238234222
above_quantile_mean_0.7,standalone,0.5001400948558921,-0.49981393651951844
above_quantile_mean_0.9,standalone,0.5122969719080628,-0.4876570594673477
above_quantile_mean_fg_ratio,standalone,0.4191667274717256,-0.5807873039036848
patch_aggregation_10,standalone,0.6283568040861001,-0.37159722728931044
patch_aggregation_20,standalone,0.6875373951112733,-0.3124166362641372
patch_aggregation_40,standalone,0.42594162714337835,-0.5740124042320321
patch_aggregation_80,standalone,0.47570229843122946,-0.524251732944181
patch_aggregation_100,standalone,0.5098248814301349,-0.49012914994527557
"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 255}",standalone,0.7923239693542503,-0.2076300620211602
"class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 255}",standalone,0.8005487048522436,-0.1994053265231669
