feature,mode,auroc,delta
ALL_FEATURES,baseline,0.5347848867671887,0.0
moran,removal,0.5660912848576586,0.03130639809046987
entropy,removal,0.5367933865052106,0.0020084997380218628
eds,removal,0.5570530360365605,0.022268149269371817
mean,removal,0.4840920999010304,-0.0506927868661583
above_threshold_mean_0.3,removal,0.5197793561157362,-0.015005530651452492
above_threshold_mean_0.5,removal,0.5424986901088664,0.007713803341677705
above_threshold_mean_0.7,removal,0.5355126040635734,0.0007277172963846557
above_threshold_mean_0.9,removal,0.4988065436339291,-0.035978343133259594
above_threshold_mean_0.95,removal,0.5328928217965885,-0.001892064970600238
above_quantile_mean_0.3,removal,0.5442888746579728,0.009503987890784105
above_quantile_mean_0.5,removal,0.5549717645689003,0.020186877801711578
above_quantile_mean_0.7,removal,0.5227047796472026,-0.012080107119986083
above_quantile_mean_0.9,removal,0.590469814286546,0.055684927519357275
above_quantile_mean_fg_ratio,removal,0.5601094486813762,0.025324561914187527
patch_aggregation_10,removal,0.5441142225068405,0.009329335739651778
patch_aggregation_20,removal,0.5390638644699307,0.004278977702741993
patch_aggregation_40,removal,0.5288612679746173,-0.005923618792571417
patch_aggregation_80,removal,0.5276095942248356,-0.007175292542353162
patch_aggregation_100,removal,0.5257175292542353,-0.0090673575129534
"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}",removal,0.5229958665657566,-0.011789020201432132
"class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}",removal,0.5084124119462071,-0.026372474820981595
moran,standalone,0.3740612446876637,-0.160723642079525
entropy,standalone,0.44914711532863705,-0.08563777143855167
eds,standalone,0.49537171799499335,-0.03941316877219536
mean,standalone,0.5988531175408977,0.06406823077370893
above_threshold_mean_0.3,standalone,0.5430226465622634,0.008237759795074684
above_threshold_mean_0.5,standalone,0.5164900739360774,-0.01829481283111134
above_threshold_mean_0.7,standalone,0.4932322291436223,-0.041552657623566414
above_threshold_mean_0.9,standalone,0.45496885369971474,-0.07981603306747398
above_threshold_mean_0.95,standalone,0.4118443267159574,-0.12294056005123133
above_quantile_mean_0.3,standalone,0.5979070850555976,0.06312219828840893
above_quantile_mean_0.5,standalone,0.5994644000698608,0.06467951330267208
above_quantile_mean_0.7,standalone,0.40574605577225364,-0.12903883099493507
above_quantile_mean_0.9,standalone,0.4176806194329627,-0.11710426733422602
above_quantile_mean_fg_ratio,standalone,0.5578971881003668,0.023112301333178098
patch_aggregation_10,standalone,0.4574067066426035,-0.0773781801245852
patch_aggregation_20,standalone,0.4777755137684113,-0.0570093729987774
patch_aggregation_40,standalone,0.5504453629853875,0.01566047621819877
patch_aggregation_80,standalone,0.5356290388309949,0.0008441520638061695
patch_aggregation_100,standalone,0.5373755603423183,0.002590673575129543
"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}",standalone,0.5796632124352332,0.044878325668044505
"class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}",standalone,0.602644524655062,0.0678596378878733
