Aggregator,AURC,AURC_std
Equally-w. class avg.,0.2245302744070989,0.0
Imbalance-w. class avg.,0.2245302744070989,0.0
Mean,0.24887057325970155,0.0
Threshold 0.3,0.22681439607405254,0.0
Threshold 0.5,0.21906280945353954,0.0
Threshold 0.7,0.21027956507212361,0.0
Quantile 0.6,0.26166185281536164,0.0
Quantile 0.75,0.26491757566454366,0.0
Quantile 0.9,0.26497784382147016,0.0
Quantile fg. ratio,0.18798899267568334,0.0
Patch 10,0.20942666659025777,0.0
Patch 20,0.2196772028995245,0.0
Patch 50,0.23644426966828225,0.0
GMM,0.2283155317002898,0.0
