Aggregator,AURC,AURC_std
Equally-w. class avg.,0.05417198590913523,0.0
Imbalance-w. class avg.,0.05823013687820577,0.0
Mean,0.0574113813116485,0.0
Threshold 0.3,0.05833014909157581,0.0
Threshold 0.5,0.06246167222658793,0.0
Threshold 0.7,0.06246167222658793,0.0
Quantile 0.6,0.05746282161470085,0.0
Quantile 0.75,0.05701383679672395,0.0
Quantile 0.9,0.05537167994246098,0.0
Quantile fg. ratio,0.055919707072581246,0.0
Patch 10,0.054228013893635456,0.0
Patch 20,0.05501169530749998,0.0
Patch 50,0.05691960615809217,0.0
GMM,0.05569537923712174,0.0
