Aggregator,AURC,AURC_std
Equally-w. class avg.,0.37292243227801913,0.0
Imbalance-w. class avg.,0.3919509089337655,0.0
Mean,0.3932479599839026,0.0
Threshold 0.3,0.37415842855224374,0.0
Threshold 0.5,0.3660631250520298,0.0
Threshold 0.7,0.3620079619097577,0.0
Quantile 0.6,0.3935008358323986,0.0
Quantile 0.75,0.39302796507919047,0.0
Quantile 0.9,0.3862886386752864,0.0
Quantile fg. ratio,0.3606066392060758,0.0
Patch 10,0.3789292495129975,0.0
Patch 20,0.38053246350955783,0.0
Patch 50,0.3829949868029295,0.0
GMM,0.3626932649654996,0.0
