Aggregator,AURC,AURC_std
Equally-w. class avg.,0.4651628422548415,0.0
Imbalance-w. class avg.,0.4709356844432076,0.0
Mean,0.46970782222533536,0.0
Threshold 0.3,0.4698864823570941,0.0
Threshold 0.5,0.47750713488961577,0.0
Threshold 0.7,0.4829994796195821,0.0
Quantile 0.6,0.4749055835010315,0.0
Quantile 0.75,0.4738765529793534,0.0
Quantile 0.9,0.46925018765026516,0.0
Quantile fg. ratio,0.47056565119835997,0.0
Patch 10,0.47536673736822044,0.0
Patch 20,0.4778588689665829,0.0
Patch 50,0.47642407122647623,0.0
GMM,0.4733358239901325,0.0
