Aggregator,AURC,AURC_std
Equally-w. class avg.,0.26248607524065615,0.0
Imbalance-w. class avg.,0.26248607524065615,0.0
Mean,0.3019064919358818,0.0
Threshold 0.3,0.26174623066293257,0.0
Threshold 0.5,0.3715815773648773,0.0
Threshold 0.7,0.3820116565577896,0.0
Quantile 0.6,0.3019064919358818,0.0
Quantile 0.75,0.3019064919358818,0.0
Quantile 0.9,0.3019064919358818,0.0
Quantile fg. ratio,0.17420276756562753,0.0
Patch 10,0.2498160681060228,0.0
Patch 20,0.2994141830372009,0.0
Patch 50,0.30168032173576437,0.0
GMM,0.2660698724132046,0.0
