Coverage,Equally-w. class avg. (Mean Risk),Equally-w. class avg. (Std Dev),Imbalance-w. class avg. (Mean Risk),Imbalance-w. class avg. (Std Dev),Mean (Mean Risk),Mean (Std Dev),Threshold 0.3 (Mean Risk),Threshold 0.3 (Std Dev),Threshold 0.5 (Mean Risk),Threshold 0.5 (Std Dev),Threshold 0.7 (Mean Risk),Threshold 0.7 (Std Dev),Quantile 0.6 (Mean Risk),Quantile 0.6 (Std Dev),Quantile 0.75 (Mean Risk),Quantile 0.75 (Std Dev),Quantile 0.9 (Mean Risk),Quantile 0.9 (Std Dev),Quantile fg. ratio (Mean Risk),Quantile fg. ratio (Std Dev),Patch 10 (Mean Risk),Patch 10 (Std Dev),Patch 20 (Mean Risk),Patch 20 (Std Dev),Patch 50 (Mean Risk),Patch 50 (Std Dev),GMM (Mean Risk),GMM (Std Dev)
0.0,0.5077319587628981,0.0,0.552278820375343,0.0,0.507731958762899,0.0,0.5077319587628907,0.0,0.5077319587629021,0.0,0.5077319587628986,0.0,0.5077319587629048,0.0,0.5077319587628928,0.0,0.507731958762895,0.0,0.5077319587628936,0.0,0.5810526315789579,0.0,0.5077319587628988,0.0,0.5077319587629001,0.0,0.6472727272727263,0.0
0.02,0.5077319587628981,0.0,0.552278820375343,0.0,0.507731958762899,0.0,0.5077319587628907,0.0,0.5077319587629021,0.0,0.5077319587628986,0.0,0.5077319587629048,0.0,0.5077319587628928,0.0,0.507731958762895,0.0,0.5077319587628936,0.0,0.5810526315789579,0.0,0.5077319587628988,0.0,0.5077319587629001,0.0,0.6472727272727263,0.0
0.04,0.5300053895691166,0.0,0.5508646849129463,0.0,0.530005389569117,0.0,0.544392295170919,0.0,0.5300053895691186,0.0,0.558767940165763,0.0,0.5300053895691199,0.0,0.5300053895691139,0.0,0.530005389569115,0.0,0.5443922951709205,0.0,0.5886483815171785,0.0,0.5473917886552901,0.0,0.5300053895691176,0.0,0.6590345937248587,0.0
0.06,0.5470211369057268,0.0,0.536487109529593,0.0,0.5716831796093855,0.0,0.5225026648657191,0.0,0.5470211369057282,0.0,0.5566049002356204,0.0,0.5716831796093874,0.0,0.5716831796093834,0.0,0.5470211369057258,0.0,0.530018951657628,0.0,0.6025489858622953,0.0,0.5750445906210365,0.0,0.552084970197878,0.0,0.6280010844612611,0.0
0.08,0.5606134772447644,0.0,0.5661250220696754,0.0,0.5661250220696765,0.0,0.529946703743123,0.0,0.562716833071453,0.0,0.5627168330714521,0.0,0.566125022069678,0.0,0.566125022069675,0.0,0.5598039589148602,0.0,0.5171950648070508,0.0,0.5986746440336419,0.0,0.5837344233579342,0.0,0.5778234175708892,0.0,0.609832250781313,0.0
0.1,0.5583808916859214,0.0,0.5731781173081159,0.0,0.5725305026441939,0.0,0.545918147308224,0.0,0.5459181473082262,0.0,0.5459181473082255,0.0,0.572530502644195,0.0,0.5725305026441927,0.0,0.5577332770219982,0.0,0.5357168361593662,0.0,0.5985702002153662,0.0,0.5915269638890004,0.0,0.5888463125633409,0.0,0.5894121923776277,0.0
0.12,0.5669513966663725,0.0,0.5719707754124408,0.0,0.5714310965258392,0.0,0.5384771668620272,0.0,0.5546238602472324,0.0,0.5384771668620285,0.0,0.5783357460685266,0.0,0.5714310965258382,0.0,0.5664117177797697,0.0,0.5384771668620276,0.0,0.5834304933066196,0.0,0.5727263706167202,0.0,0.5704924945120039,0.0,0.5905508488905896,0.0
0.14,0.5695042583670948,0.0,0.5738065830065819,0.0,0.5749758158014906,0.0,0.5470022037306324,0.0,0.5470022037306339,0.0,0.5417361891075452,0.0,0.5765640774778893,0.0,0.5765640774778876,0.0,0.566343481801812,0.0,0.5442866271959172,0.0,0.5836291983444495,0.0,0.5710926494687094,0.0,0.5728580836599578,0.0,0.5806693483471156,0.0
0.16,0.5730852791889909,0.0,0.5768498132485421,0.0,0.5790240842250773,0.0,0.5493686865060615,0.0,0.5596708843082607,0.0,0.548788218586885,0.0,0.579024084225078,0.0,0.5771251467405201,0.0,0.5714707919753585,0.0,0.5493534773678562,0.0,0.5797104010983102,0.0,0.5723376472324891,0.0,0.5790879639541211,0.0,0.5730680275530642,0.0
0.18,0.5814482090959529,0.0,0.5790047374937485,0.0,0.5792494783755073,0.0,0.557067861072776,0.0,0.5624653892263906,0.0,0.553039707471418,0.0,0.5792494783755079,0.0,0.5752418031809728,0.0,0.5807561217214212,0.0,0.55063978350011,0.0,0.5844867038666384,0.0,0.5790710078214512,0.0,0.5793062603568795,0.0,0.5707581156444276,0.0
0.2,0.5888072641553499,0.0,0.5859394285795384,0.0,0.5861596953731214,0.0,0.5574540982213123,0.0,0.5623118735595655,0.0,0.556217879581419,0.0,0.5773420360084167,0.0,0.5773420360084154,0.0,0.581162652406422,0.0,0.5604109699852637,0.0,0.5915419094489669,0.0,0.5824056756187981,0.0,0.5826174029006836,0.0,0.5805195609888896,0.0
0.22,0.5894833430008088,0.0,0.5878869317259607,0.0,0.5860380347547858,0.0,0.5594258519465799,0.0,0.5638420113449918,0.0,0.5583020168194041,0.0,0.5837974553123467,0.0,0.5802931165138893,0.0,0.5872707429468971,0.0,0.563842011344991,0.0,0.593439707298599,0.0,0.5846744290343785,0.0,0.5869567475963059,0.0,0.5809106398600296,0.0
0.24,0.5909732280165901,0.0,0.5896684252469511,0.0,0.58731740671371,0.0,0.5585945767385773,0.0,0.5647311619925871,0.0,0.561463859705737,0.0,0.5838827864172703,0.0,0.5806704758520175,0.0,0.5880185253226056,0.0,0.5640163492274138,0.0,0.5907605919054362,0.0,0.5856385709027969,0.0,0.5886571822291291,0.0,0.5777004475228636,0.0
0.26,0.5890471386256267,0.0,0.5873997044360006,0.0,0.5852295334822397,0.0,0.5606120268795659,0.0,0.5648236930650085,0.0,0.5614228114636142,0.0,0.5858767198904515,0.0,0.5858767198904506,0.0,0.5879441478783807,0.0,0.5662367053534132,0.0,0.5951906731705294,0.0,0.5830724362468384,0.0,0.5902838544860136,0.0,0.5836495484587912,0.0
0.28,0.5947132408015854,0.0,0.5931834804826469,0.0,0.5869848469169817,0.0,0.5668791426990003,0.0,0.5686692333894001,0.0,0.5663461959699652,0.0,0.5859606412231109,0.0,0.58596064122311,0.0,0.5873155222584431,0.0,0.5650376942174944,0.0,0.5868715825337286,0.0,0.5831973642700233,0.0,0.5978542921825848,0.0,0.5855177179666367,0.0
0.3,0.5945910900058401,0.0,0.5919387030582128,0.0,0.5869892983590284,0.0,0.5637444519853806,0.0,0.5702833497544672,0.0,0.5668905708463766,0.0,0.5869892983590286,0.0,0.584758513842386,0.0,0.5800760477249015,0.0,0.5665052891728402,0.0,0.5899426698670233,0.0,0.58798679063135,0.0,0.5926545915033928,0.0,0.5839025582742372,0.0
0.32,0.5936256087054285,0.0,0.598362299283415,0.0,0.5920757527796545,0.0,0.5615127601848925,0.0,0.5697212855561032,0.0,0.571981888190456,0.0,0.5889687958119949,0.0,0.5868774353276425,0.0,0.5788322356611324,0.0,0.5665942542565533,0.0,0.5911839980983735,0.0,0.587434078041844,0.0,0.5922950397359421,0.0,0.5853687710814839,0.0
0.34,0.5925012681413524,0.0,0.5980398686705909,0.0,0.5913150255102192,0.0,0.560602112293531,0.0,0.5681134647477465,0.0,0.574063069072793,0.0,0.5936396060047627,0.0,0.5864224914377373,0.0,0.581175119304977,0.0,0.568992354782061,0.0,0.5921356431037742,0.0,0.5855453528477043,0.0,0.5926395918069022,0.0,0.5918923717377502,0.0
0.36,0.593432578465602,0.0,0.6034970972021143,0.0,0.5928342606266788,0.0,0.5595902356002258,0.0,0.5702939368834374,0.0,0.5723033614473066,0.0,0.5946828326597715,0.0,0.5878666689020252,0.0,0.5829108174433072,0.0,0.5662627118494301,0.0,0.5951988144464937,0.0,0.5841778461649506,0.0,0.5902402005648826,0.0,0.5901722528944384,0.0
0.38,0.593096738469922,0.0,0.6078723419023707,0.0,0.5982782459746435,0.0,0.5600291037534902,0.0,0.571175920128924,0.0,0.5744146416761284,0.0,0.5938649672144811,0.0,0.588578449394649,0.0,0.5874088043720304,0.0,0.5651979241748152,0.0,0.5979282886087526,0.0,0.5875554147010926,0.0,0.5887165227762384,0.0,0.5885934529897099,0.0
0.4,0.5981777136794982,0.0,0.6065313563861995,0.0,0.5989852179656574,0.0,0.5623957467253249,0.0,0.5700896515950052,0.0,0.5753379585355922,0.0,0.5925681553793696,0.0,0.5925681553793689,0.0,0.5876824130966991,0.0,0.5656636189218812,0.0,0.5969890436382776,0.0,0.5864743472627413,0.0,0.592699325091879,0.0,0.5878893712960311,0.0
0.42,0.6028487740870465,0.0,0.606687192823458,0.0,0.6035438381892665,0.0,0.5623431074803401,0.0,0.5713351030169288,0.0,0.5741052247696379,0.0,0.5975063376107335,0.0,0.5975063376107328,0.0,0.5867417615450586,0.0,0.5651713394370996,0.0,0.5955102351761723,0.0,0.5855912226555751,0.0,0.5975572735475727,0.0,0.583764747169127,0.0
0.44,0.6035675233379303,0.0,0.607231468495414,0.0,0.6038038843614746,0.0,0.5634662216197648,0.0,0.574017607177638,0.0,0.576313947553439,0.0,0.5980408156274203,0.0,0.5972960940313997,0.0,0.5861858550710167,0.0,0.5673189006351824,0.0,0.5974053223131928,0.0,0.5893540111298238,0.0,0.5998661087659397,0.0,0.5822050109091916,0.0
0.46,0.6016808942669157,0.0,0.6074569562040881,0.0,0.6022440950636821,0.0,0.5647451241087057,0.0,0.57811999682596,0.0,0.57815513494705,0.0,0.6022440950636824,0.0,0.5954712964535767,0.0,0.5868469265140976,0.0,0.5670567885458546,0.0,0.5983294934129014,0.0,0.5918629160167623,0.0,0.5989651209586926,0.0,0.5830391625332214,0.0
0.48,0.6021282605805826,0.0,0.6066067338017379,0.0,0.6018539652220873,0.0,0.5645547045502011,0.0,0.5767829863762012,0.0,0.5757261202407022,0.0,0.6018539652220875,0.0,0.5951142325690185,0.0,0.5857820680168704,0.0,0.566028936182029,0.0,0.5981024719734224,0.0,0.592979513583001,0.0,0.5973803339420029,0.0,0.5873669899640399,0.0
0.5,0.6007602793778493,0.0,0.609818745284583,0.0,0.6007602793778493,0.0,0.5641855463578518,0.0,0.5782083743529499,0.0,0.5794319781946361,0.0,0.6046116650202836,0.0,0.5956802574253716,0.0,0.5875647930782967,0.0,0.5701226814983097,0.0,0.5963914030841443,0.0,0.5893112236249227,0.0,0.5968779777271799,0.0,0.5879800544732224,0.0
0.52,0.604073615589196,0.0,0.6086389238966857,0.0,0.604073615589196,0.0,0.5645827106947089,0.0,0.5773282734063545,0.0,0.5781473538806787,0.0,0.6034539786393549,0.0,0.5911819169188312,0.0,0.5858272368758253,0.0,0.57132528983537,0.0,0.5998727729990951,0.0,0.5875064970168118,0.0,0.596724247001727,0.0,0.5896096752455035,0.0
0.54,0.6017889754493754,0.0,0.6071311389565215,0.0,0.6065448320554107,0.0,0.5670185434301837,0.0,0.5751997737244415,0.0,0.5774817131704535,0.0,0.6065448320554109,0.0,0.5941306037061703,0.0,0.5849051256047998,0.0,0.5727304588776838,0.0,0.6034430400079438,0.0,0.5850573802786436,0.0,0.5947118056984793,0.0,0.5892927477022977,0.0
0.56,0.5973937764781592,0.0,0.6094049004286811,0.0,0.6094049004286812,0.0,0.5706383300608574,0.0,0.5768961077347566,0.0,0.5770692971977253,0.0,0.6058432938828668,0.0,0.5934299328279549,0.0,0.5838487193239665,0.0,0.5722820515857878,0.0,0.6057619517608404,0.0,0.5869196935612143,0.0,0.5934783503058405,0.0,0.5853438425791913,0.0
0.58,0.596148829792038,0.0,0.607540102129122,0.0,0.6075401021291221,0.0,0.572078997499963,0.0,0.5765868878305322,0.0,0.5763195196992337,0.0,0.6041013096021289,0.0,0.5966532806915725,0.0,0.5810012553690382,0.0,0.573881334552019,0.0,0.6041899897933836,0.0,0.587307029126078,0.0,0.594346726419656,0.0,0.5891153046509933,0.0
0.6,0.5991647603492029,0.0,0.6069059902718673,0.0,0.6068521574989574,0.0,0.5728845019651442,0.0,0.58026422559861,0.0,0.5800057697383547,0.0,0.6068521574989575,0.0,0.5999220460905684,0.0,0.581943375322665,0.0,0.574626761115465,0.0,0.6021299345274055,0.0,0.5872935202626814,0.0,0.5912442443600356,0.0,0.5894165419940356,0.0
0.62,0.5999238689190113,0.0,0.6082012429575946,0.0,0.6081491467257463,0.0,0.5752841221363566,0.0,0.5811997297398757,0.0,0.580949611165435,0.0,0.6076101586942341,0.0,0.6009035992667607,0.0,0.5853292993726715,0.0,0.5761774180476521,0.0,0.5997398522257978,0.0,0.5851182061250048,0.0,0.593044714655822,0.0,0.5901585143747093,0.0
0.64,0.6013968362505864,0.0,0.6080291291993448,0.0,0.6088429294703332,0.0,0.5756471734203511,0.0,0.5818306912561882,0.0,0.5827075030724721,0.0,0.6035824476180179,0.0,0.5990749971588631,0.0,0.58328334570461,0.0,0.57963771813594,0.0,0.5966627401134618,0.0,0.5853607927731422,0.0,0.5918659970022484,0.0,0.5910492251007025,0.0
