Aggregator,AURC,AURC_std
Equally-w. class avg.,0.17366009733367008,0.0
Imbalance-w. class avg.,0.17366009733367008,0.0
Mean,0.1616477845170738,0.0
Threshold 0.3,0.08697103182411955,0.0
Threshold 0.5,0.0850893734625723,0.0
Threshold 0.7,0.09390189835836635,0.0
Quantile 0.6,0.16449131397721897,0.0
Quantile 0.75,0.15491696270062238,0.0
Quantile 0.9,0.13932577732687149,0.0
Quantile fg. ratio,0.11928087365907579,0.0
Patch 10,0.20710155677859785,0.0
Patch 20,0.1742598304358211,0.0
Patch 50,0.16243511428540094,0.0
GMM,0.22122330655795203,0.0
