Aggregator,AURC,AURC_std
Equally-w. class avg.,0.5528484770882677,0.0
Imbalance-w. class avg.,0.5528484770882677,0.0
Mean,0.5554628219138515,0.0
Threshold 0.3,0.5398946297959928,0.0
Threshold 0.5,0.536154069141407,0.0
Threshold 0.7,0.5488515200570733,0.0
Quantile 0.6,0.5554628219138515,0.0
Quantile 0.75,0.5554628219138515,0.0
Quantile 0.9,0.5554628219138515,0.0
Quantile fg. ratio,0.49446899537838324,0.0
Patch 10,0.5503917790605423,0.0
Patch 20,0.5532097080699588,0.0
Patch 50,0.5554628219138515,0.0
GMM,0.4178889599364868,0.0
