Coverage,Equally-w. class avg. (Mean Risk),Equally-w. class avg. (Std Dev),Imbalance-w. class avg. (Mean Risk),Imbalance-w. class avg. (Std Dev),Mean (Mean Risk),Mean (Std Dev),Threshold 0.3 (Mean Risk),Threshold 0.3 (Std Dev),Threshold 0.5 (Mean Risk),Threshold 0.5 (Std Dev),Threshold 0.7 (Mean Risk),Threshold 0.7 (Std Dev),Quantile 0.6 (Mean Risk),Quantile 0.6 (Std Dev),Quantile 0.75 (Mean Risk),Quantile 0.75 (Std Dev),Quantile 0.9 (Mean Risk),Quantile 0.9 (Std Dev),Quantile fg. ratio (Mean Risk),Quantile fg. ratio (Std Dev),Patch 10 (Mean Risk),Patch 10 (Std Dev),Patch 20 (Mean Risk),Patch 20 (Std Dev),Patch 50 (Mean Risk),Patch 50 (Std Dev)
0.0,0.6947709105088778,0.0,0.6083946441647284,0.0,0.608394644164724,0.0,0.5969190880420888,0.0,0.49412069412070436,0.0,0.7311815940021884,0.0,0.5443007222916583,0.0,0.5443007222916538,0.0,0.42689370485036104,0.0,0.54430072229166,0.0,0.6947709105088792,0.0,0.5443007222916524,0.0,0.7033784020988959,0.0
0.02,0.6947709105088778,0.0,0.6083946441647284,0.0,0.608394644164724,0.0,0.5969190880420888,0.0,0.49412069412070436,0.0,0.7311815940021884,0.0,0.5443007222916583,0.0,0.5443007222916538,0.0,0.42689370485036104,0.0,0.54430072229166,0.0,0.6947709105088792,0.0,0.5443007222916524,0.0,0.7033784020988959,0.0
0.04,0.5608323076796196,0.0,0.5763476832281929,0.0,0.5763476832281906,0.0,0.511906396446225,0.0,0.5010424320267569,0.0,0.7267949648411393,0.0,0.5763476832281891,0.0,0.5763476832281869,0.0,0.48559721357100916,0.0,0.57634768322819,0.0,0.5608323076796202,0.0,0.5552502117298801,0.0,0.6238395621952766,0.0
0.06,0.562621438842449,0.0,0.6090679278353403,0.0,0.6090679278353388,0.0,0.5059778290043814,0.0,0.5777554860185664,0.0,0.7192464044424535,0.0,0.5265296904355798,0.0,0.5265296904355784,0.0,0.5553217792169631,0.0,0.6158220923217503,0.0,0.54320959509735,0.0,0.5124647094367072,0.0,0.6474833449664747,0.0
0.08,0.558041259704751,0.0,0.630493673503723,0.0,0.6304936735037219,0.0,0.5531760993805038,0.0,0.6068512793668936,0.0,0.6964001393285311,0.0,0.5364471931187118,0.0,0.5685899954539015,0.0,0.5685899954539023,0.0,0.5685899954539031,0.0,0.5902025948235589,0.0,0.5494551034856681,0.0,0.5923359349374464,0.0
0.1,0.5771482824394444,0.0,0.6176348790366,0.0,0.6176348790365991,0.0,0.5427061097241406,0.0,0.5708597644635872,0.0,0.711434618661053,0.0,0.5681119365967436,0.0,0.5681119365967428,0.0,0.5681119365967434,0.0,0.5924193105668596,0.0,0.593841004691791,0.0,0.5661030800328997,0.0,0.5994410167473099,0.0
0.12,0.598186635716019,0.0,0.6393066033713493,0.0,0.6393066033713485,0.0,0.5741186904371481,0.0,0.5752029850600031,0.0,0.6942612895783308,0.0,0.5880493756670674,0.0,0.5880493756670666,0.0,0.5880493756670672,0.0,0.5880493756670676,0.0,0.6016256749933907,0.0,0.5841706362023555,0.0,0.592764070265093,0.0
0.14,0.5852977120327034,0.0,0.6462251701781117,0.0,0.646225170178111,0.0,0.569858980702078,0.0,0.5962323208628727,0.0,0.6955637342241253,0.0,0.6004006672931484,0.0,0.6004006672931478,0.0,0.5755889150144415,0.0,0.5857606443461171,0.0,0.6148418156246027,0.0,0.5922246919593602,0.0,0.5984684868303406,0.0
0.16,0.5836390300811671,0.0,0.6584642140002334,0.0,0.6584642140002328,0.0,0.5821239037331319,0.0,0.6007901540327418,0.0,0.6703833542111964,0.0,0.6067422613097677,0.0,0.6067422613097672,0.0,0.5950379998879095,0.0,0.5751438326901883,0.0,0.6344331556704199,0.0,0.6061189057268018,0.0,0.6104272584030324,0.0
0.18,0.5911384066750488,0.0,0.6576496812697744,0.0,0.6576496812697739,0.0,0.5877429128985424,0.0,0.6037980640276331,0.0,0.6692770132580136,0.0,0.6224003683914708,0.0,0.6140657392368555,0.0,0.5853631298928984,0.0,0.5810013339453634,0.0,0.6195879329402275,0.0,0.5952128239719138,0.0,0.6055130853769296,0.0
0.2,0.6045058414314597,0.0,0.6572423504806187,0.0,0.6591500694081527,0.0,0.594780069420136,0.0,0.60853159956748,0.0,0.6546839758189559,0.0,0.62742568781768,0.0,0.6034555823064509,0.0,0.5840296425456499,0.0,0.5960193599510456,0.0,0.6070412090582742,0.0,0.5916294753601232,0.0,0.5950443919491054,0.0
0.22,0.6160218189378893,0.0,0.6586433697690682,0.0,0.6380358544483534,0.0,0.5927117227837976,0.0,0.6139358509659373,0.0,0.658270765236494,0.0,0.6165655498281463,0.0,0.6165655498281459,0.0,0.5884537646980296,0.0,0.6090398369053646,0.0,0.6089339485972277,0.0,0.6003664840563562,0.0,0.5962580512414339,0.0
0.24,0.617411249544884,0.0,0.6393308976925093,0.0,0.6457979994111728,0.0,0.5966981647602635,0.0,0.6147431158064912,0.0,0.656369755574648,0.0,0.6196497851239856,0.0,0.6196497851239853,0.0,0.59562498572733,0.0,0.6185840794132073,0.0,0.6168685598512156,0.0,0.6045970620038351,0.0,0.6008309985901563,0.0
0.26,0.6182151029634901,0.0,0.6463963358701766,0.0,0.6517805184564269,0.0,0.5938274857674746,0.0,0.6214998407559154,0.0,0.6615390626073272,0.0,0.6260904479682092,0.0,0.615986590608326,0.0,0.6039137100636041,0.0,0.6100748556070228,0.0,0.623523163101037,0.0,0.596098879858978,0.0,0.5986154030386376,0.0
0.28,0.6217696216768488,0.0,0.6519087938079837,0.0,0.6460839283109975,0.0,0.5887931395603291,0.0,0.622860496880592,0.0,0.6626592773135676,0.0,0.6345223817387005,0.0,0.622228862857652,0.0,0.6056242553438297,0.0,0.6064537471960932,0.0,0.625495324267113,0.0,0.5961574661577712,0.0,0.5921403149596499,0.0
0.3,0.6299274816153979,0.0,0.6465834246488124,0.0,0.6544498354896736,0.0,0.583404541585161,0.0,0.628279749331558,0.0,0.6584297511753815,0.0,0.6303561067174813,0.0,0.6229266044152637,0.0,0.6150936533239142,0.0,0.6129153908562798,0.0,0.6278240550248088,0.0,0.6026895457080449,0.0,0.5996075795386787,0.0
0.32,0.6214395573969789,0.0,0.6543952441077079,0.0,0.6558731000524873,0.0,0.5866579233169849,0.0,0.6352150529013701,0.0,0.6634806796299548,0.0,0.6302001840468114,0.0,0.6232350256384824,0.0,0.6231588950383624,0.0,0.6199089760677096,0.0,0.623972532908765,0.0,0.6030461143615871,0.0,0.6021664199738481,0.0
0.34,0.6201323119760257,0.0,0.6593863830689342,0.0,0.6557379984834126,0.0,0.5926037261229673,0.0,0.6384547982111428,0.0,0.6650577410145166,0.0,0.63034693711593,0.0,0.6160345036067297,0.0,0.6248044552964648,0.0,0.6125096653649439,0.0,0.6209169872329796,0.0,0.608441690605545,0.0,0.6063127224844196,0.0
