,auroc_spatial,auroc_magnitude,auroc_all
beta,0.4781830354543867,0.5499214065319905,0.5457297549048146
quantile,0.3776052279210572,0.5811695872387496,0.6049077254468185
standardize,0.4935524247540316,0.47314723176340456,0.44424230075100424
identity,0.46613203702625605,0.45814170111195207,0.4441695290213658
