,auroc_spatial,auroc_magnitude,auroc_all
beta,0.844,0.8216,0.8432000000000001
quantile,0.8148,0.8144,0.8056
standardize,0.9296,0.7856000000000001,0.8272
identity,0.832,0.7303999999999999,0.6703999999999999
