,auroc_spatial,auroc_magnitude,auroc_all
beta,0.8592,0.7648,0.7864
quantile,0.9407999999999999,0.704,0.7647999999999999
standardize,0.932,0.7847999999999999,0.8344
identity,0.896,0.6968,0.7208
