,auroc_spatial,auroc_magnitude,auroc_all
beta,0.6660714285714286,0.6148809523809524,0.643452380952381
quantile,0.6416666666666666,0.5392857142857143,0.5880952380952381
standardize,0.6970238095238095,0.6869047619047619,0.694047619047619
identity,0.7,0.6904761904761906,0.7160714285714286
