,auroc_spatial,auroc_magnitude,auroc_all
beta,0.8304,0.8127999999999999,0.8592
quantile,0.8024,0.7984000000000001,0.8104
standardize,0.8368,0.8119999999999999,0.8191999999999999
identity,0.74,0.7336,0.736
