,auroc_spatial,auroc_magnitude,auroc_all
beta,0.610874416717387,0.9082978291742747,0.8559545546764049
quantile,0.6670724284844796,0.8476364374112396,0.8871982146480016
standardize,0.696490160275918,0.9113410428078718,0.9160073037127207
identity,0.6003246094542504,0.8825319537431527,0.8458105092310814
