,auroc_spatial,auroc_magnitude,auroc_all
beta,0.8323657474600871,0.9537977745524916,0.9550072568940493
quantile,0.4305757135945815,0.8171262699564587,0.8655055636187713
standardize,0.8853410740203194,0.9356555394291244,0.9320270924044509
identity,0.7677793904208999,0.9404934687953556,0.941944847605225
