,auroc_spatial,auroc_magnitude,auroc_all
beta,1.0,0.77198686610726,0.9998657424297701
quantile,1.0,0.7486005107624953,1.0
standardize,1.0,0.7847289310470631,1.0
identity,1.0,0.8068741335279095,1.0
