,auroc_spatial,auroc_magnitude,auroc_all
beta,1.0,0.6958299890550893,0.999824881430135
quantile,1.0,0.5534666180226195,0.9994775629332361
standardize,1.0,0.6984005837285663,0.9966377234585918
identity,1.0,0.7231514045968623,0.9981984677125136
