,auroc_spatial,auroc_magnitude,auroc_all
beta,0.7267857142857143,0.6892857142857143,0.6642857142857143
quantile,0.725,0.6089285714285715,0.6279761904761905
standardize,0.7130952380952381,0.7136904761904762,0.6886904761904762
identity,0.6535714285714286,0.818452380952381,0.8041666666666667
