,auroc_spatial,auroc_magnitude,auroc_all
beta,0.6898809523809525,0.65,0.6303571428571428
quantile,0.7041666666666667,0.5452380952380952,0.5666666666666667
standardize,0.6803571428571429,0.7220238095238095,0.7214285714285714
identity,0.7166666666666668,0.7470238095238095,0.7386904761904762
