,auroc_spatial,auroc_magnitude,auroc_all
beta,0.9970731707317073,1.0,1.0
quantile,0.9765853658536585,0.9931707317073171,0.9931707317073171
standardize,0.8995121951219512,1.0,1.0
identity,0.9921951219512195,1.0,1.0
