,auroc_spatial,auroc_magnitude,auroc_all
beta,0.5999999999999999,0.7896,0.8512
quantile,0.7023999999999999,0.748,0.8024
standardize,0.6616,0.7904,0.88
identity,0.8408,0.7712,0.9128000000000001
