,auroc_spatial,auroc_magnitude,auroc_all
beta,0.7159999999999999,0.7816,0.8288
quantile,0.8248,0.6464000000000001,0.74
standardize,0.7271999999999998,0.756,0.8376
identity,0.7968000000000001,0.7536,0.84
