,auroc_spatial,auroc_magnitude,auroc_all
beta,0.985,0.9783333333333333,0.9933333333333333
quantile,0.8483333333333334,0.95,0.9750000000000001
standardize,0.9216666666666666,0.9816666666666667,0.9933333333333333
identity,0.9516666666666668,0.9766666666666666,0.9833333333333333
