,auroc_spatial,auroc_magnitude,auroc_all
beta,0.5631999999999999,0.776,0.7872
quantile,0.7072,0.716,0.804
standardize,0.6023999999999999,0.8384,0.8856
identity,0.7552,0.7535999999999999,0.7992
