,auroc_spatial,auroc_magnitude,auroc_all
beta,0.6240616757963077,0.8671130046662608,0.8320146074254413
quantile,0.6411036721444512,0.7885980929194562,0.7758165956583486
standardize,0.6674781903022925,0.8725907892067357,0.8612294583079733
identity,0.6934469466423209,0.9279772773382025,0.8945019273686345
