Coverage,Equally-w. class avg. (Mean Risk),Equally-w. class avg. (Std Dev),Imbalance-w. class avg. (Mean Risk),Imbalance-w. class avg. (Std Dev),Mean (Mean Risk),Mean (Std Dev),Threshold 0.3 (Mean Risk),Threshold 0.3 (Std Dev),Threshold 0.5 (Mean Risk),Threshold 0.5 (Std Dev),Threshold 0.7 (Mean Risk),Threshold 0.7 (Std Dev),Quantile 0.6 (Mean Risk),Quantile 0.6 (Std Dev),Quantile 0.75 (Mean Risk),Quantile 0.75 (Std Dev),Quantile 0.9 (Mean Risk),Quantile 0.9 (Std Dev),Quantile fg. ratio (Mean Risk),Quantile fg. ratio (Std Dev),Patch 10 (Mean Risk),Patch 10 (Std Dev),Patch 20 (Mean Risk),Patch 20 (Std Dev),Patch 50 (Mean Risk),Patch 50 (Std Dev)
0.0,0.7934782608695652,0.3577061450413982,0.7934782608695652,0.3577061450413982,0.8152173913043478,0.32005286661598675,0.842045104454018,0.2735859043898758,0.8288399202886969,0.2964579542875149,0.8288399202886976,0.29645795428751526,0.8152173913043478,0.32005286661598675,0.8152173913043478,0.32005286661598675,0.8152173913043478,0.32005286661598675,0.790322580645161,0.3631719435225061,0.8152173913043488,0.3200528666159876,0.8152173913043479,0.32005286661598675,0.8152173913043478,0.32005286661598675
0.05,0.7934782608695652,0.3577061450413982,0.7934782608695652,0.3577061450413982,0.8152173913043478,0.32005286661598675,0.842045104454018,0.2735859043898758,0.8288399202886969,0.2964579542875149,0.8288399202886976,0.29645795428751526,0.8152173913043478,0.32005286661598675,0.8152173913043478,0.32005286661598675,0.8152173913043478,0.32005286661598675,0.790322580645161,0.3631719435225061,0.8152173913043488,0.3200528666159876,0.8152173913043479,0.32005286661598675,0.8152173913043478,0.32005286661598675
0.1,0.48819959260001333,0.15641355735622256,0.48819959260001333,0.15641355735622256,0.5098131366689161,0.16958176338868386,0.5167392940564645,0.08828297297009001,0.5153094722099842,0.1205645703930487,0.5398906449263786,0.13105142369075132,0.5098131366689161,0.16958176338868386,0.5098131366689161,0.16958176338868386,0.5098131366689161,0.16958176338868386,0.464052453507222,0.21435282220358243,0.5098131366689166,0.1695817633886843,0.5098131366689161,0.16958176338868386,0.5098131366689161,0.16958176338868386
0.15,0.40638281982503904,0.12162866131286217,0.40638281982503904,0.12162866131286217,0.4060589993251711,0.1190936305368881,0.43836137737579556,0.0668896246161543,0.4459519122179749,0.08924438849561976,0.4596036009063689,0.08994657937140958,0.4060589993251711,0.1190936305368881,0.4060589993251711,0.1190936305368881,0.4060589993251711,0.1190936305368881,0.3603311995743371,0.13874937065299042,0.4060589993251715,0.1190936305368884,0.40605899932517114,0.11909363053688811,0.4060589993251711,0.1190936305368881
0.2,0.36235664238074106,0.0892604898291431,0.36235664238074106,0.0892604898291431,0.35670371793241656,0.0991794336018418,0.41744274599369363,0.054104863150632815,0.42926117368709116,0.07696898193996177,0.46192136507674475,0.09085822785707078,0.35670371793241656,0.0991794336018418,0.35670371793241656,0.0991794336018418,0.35670371793241656,0.0991794336018418,0.3451750878618861,0.11005490309835014,0.34001502871465783,0.0896991585651814,0.3491059378055667,0.09416471683301159,0.35670371793241656,0.0991794336018418
0.25,0.32811886896741616,0.07415549082726856,0.32811886896741616,0.07415549082726856,0.3385312944372374,0.08678179613308322,0.3917790851661421,0.04720691832929826,0.414053296633786,0.05729921772748038,0.4437117232354599,0.07708499201467232,0.3385312944372374,0.08678179613308322,0.3385312944372374,0.08678179613308322,0.3385312944372374,0.08678179613308322,0.3095324690259651,0.08635340604607837,0.31511177817368463,0.06963974054047777,0.31511177817368446,0.06963974054047768,0.3385312944372374,0.08678179613308322
0.3,0.3263188302825084,0.08621949572024099,0.3263188302825084,0.08621949572024099,0.3162476371095445,0.07902326728765374,0.38936287732480734,0.037235118941280336,0.4326872473759999,0.07059735123694298,0.44627971244580444,0.07720194453359122,0.3162476371095445,0.07902326728765374,0.3162476371095445,0.07902326728765374,0.3162476371095445,0.07902326728765374,0.288720696813103,0.07997608239327463,0.3162476371095447,0.07902326728765378,0.3162476371095445,0.07902326728765374,0.3162476371095445,0.07902326728765374
0.35,0.31832688427300626,0.08751090859001041,0.31832688427300626,0.08751090859001041,0.31492518902802213,0.06729271222736527,0.3816486910288956,0.03476370671760794,0.39416791552676644,0.04763249352180709,0.41359367275155945,0.05678903898141603,0.31492518902802213,0.06729271222736527,0.31492518902802213,0.06729271222736527,0.31492518902802213,0.06729271222736527,0.2753773228542704,0.0692891477460509,0.31492518902802225,0.06729271222736526,0.31492518902802213,0.06729271222736527,0.31492518902802213,0.06729271222736527
0.4,0.32234811654794443,0.06685860041505712,0.32234811654794443,0.06685860041505712,0.2983294548168992,0.05997166653916629,0.3692232729309275,0.037340052717599256,0.3805223326563574,0.044038043355846275,0.3935851882593656,0.04639639697021981,0.2983294548168992,0.05997166653916629,0.2983294548168992,0.05997166653916629,0.2983294548168992,0.05997166653916629,0.27230151462768176,0.06820359661921718,0.2983294548168993,0.05997166653916627,0.2983294548168992,0.05997166653916629,0.2983294548168992,0.05997166653916629
0.45,0.3239965543403544,0.050043656385422165,0.3239965543403544,0.050043656385422165,0.3054469514120517,0.05204012038745819,0.3530265949496964,0.03505381454396006,0.3697527572595446,0.036043149346850316,0.37974799422390504,0.03853819885931663,0.3054469514120517,0.05204012038745819,0.3054469514120517,0.05204012038745819,0.3054469514120517,0.05204012038745819,0.27236483397105826,0.06995936671903061,0.2961393894359505,0.06463699556460106,0.3054469514120517,0.05204012038745819,0.3054469514120517,0.05204012038745819
0.5,0.31692191348084503,0.058143188845285104,0.31692191348084503,0.058143188845285104,0.33122584339800504,0.04910648749561628,0.3567821348520145,0.039125175185343364,0.3544997352245201,0.03268664591991585,0.36890159722648,0.031043886558156757,0.33122584339800504,0.04910648749561628,0.33122584339800504,0.04910648749561628,0.30711870054086216,0.0697808480420375,0.2727143516983926,0.05645218399171672,0.3071187005408623,0.06978084804203752,0.30711870054086216,0.0697808480420375,0.33122584339800504,0.04910648749561628
0.55,0.31745117663576866,0.0656400247158798,0.31745117663576866,0.0656400247158798,0.3336070655684601,0.04404129369823518,0.33957170171944606,0.027578099384043177,0.34015349059433087,0.02421107068742518,0.35103297795836874,0.021833299375422003,0.3336070655684601,0.04404129369823518,0.3336070655684601,0.04404129369823518,0.3336070655684601,0.04404129369823518,0.26608024076967984,0.05686895670639796,0.3186256093904395,0.04846188175917613,0.3336070655684601,0.04404129369823518,0.3336070655684601,0.04404129369823518
