Aggregator,AUROC,AUROC_std,Noise_Level
Threshold 0.5,0.5371,0.01913191051620299,0_25
Threshold 0.6,0.5248,0.012664912159190115,0_25
Quantile 0.75,0.521,0.0039038442591886363,0_25
Quantile 0.9,0.5207999999999999,0.006170899448216584,0_25
Quantile 0.6,0.5205,0.005086255990411793,0_25
Imbalance-w. class avg.,0.5186999999999999,0.007463913182774909,0_25
Threshold 0.4,0.5181,0.001337908816025992,0_25
Mean,0.5176000000000001,0.004638965401897256,0_25
Equally-w. class avg.,0.5176,0.01176435293588219,0_25
Patch 50,0.5147,0.011187046080176856,0_25
Threshold 0.3,0.511,0.007113367697511485,0_25
Patch 20,0.5029,0.007951729371652418,0_25
Threshold 0.9,0.5008000000000001,0.006077828559609111,0_25
Threshold 0.2,0.5002,0.010405767631462849,0_25
Threshold 0.8,0.4935,0.019045471902791,0_25
Patch 10,0.4876,0.015849290204927174,0_25
Threshold 0.7,0.47920000000000007,0.012933676971379794,0_25
Threshold 0.5,0.6268,0.04798583124214899,0_50
Threshold 0.4,0.5914,0.012517188182655101,0_50
Quantile 0.9,0.5882000000000001,0.018237324365158417,0_50
Quantile 0.75,0.5780000000000001,0.013111826722466972,0_50
Threshold 0.6,0.5769,0.03381405033414362,0_50
Quantile 0.6,0.5728,0.013487772240069825,0_50
Patch 50,0.5670999999999999,0.04176924706048699,0_50
Imbalance-w. class avg.,0.5604,0.02837040711727628,0_50
Threshold 0.3,0.5557,0.019117269679533224,0_50
Mean,0.5547,0.015410061648157024,0_50
Equally-w. class avg.,0.5523,0.02449224367019077,0_50
Threshold 0.2,0.5317000000000001,0.041159567539030356,0_50
Threshold 0.8,0.5264500000000001,0.024864583246055033,0_50
Patch 20,0.5238,0.013733171520082315,0_50
Threshold 0.9,0.5099500000000001,0.01675134322972338,0_50
Patch 10,0.5075000000000001,0.04472795546411664,0_50
Threshold 0.7,0.4684,0.03373662698018282,0_50
Threshold 0.4,0.8533,0.028691984943534258,0_75
Quantile 0.9,0.8297,0.03959532800722833,0_75
Threshold 0.3,0.8176999999999999,0.05719746497879078,0_75
Threshold 0.5,0.8159,0.07135621907023941,0_75
Quantile 0.75,0.7796,0.031152527987307804,0_75
Threshold 0.2,0.7662,0.077317268446318,0_75
Quantile 0.6,0.7565,0.024850553313759453,0_75
Patch 20,0.7517,0.027484359188454755,0_75
Patch 50,0.7158,0.030855145437997878,0_75
Threshold 0.6,0.6920999999999999,0.06324326051050817,0_75
Imbalance-w. class avg.,0.6845,0.06808839842440122,0_75
Equally-w. class avg.,0.6744999999999999,0.07103090876512844,0_75
Mean,0.6624,0.031502380862404686,0_75
Patch 10,0.6088,0.08877071589212285,0_75
Threshold 0.9,0.53705,0.02929825080102907,0_75
Threshold 0.8,0.53605,0.03757455921231812,0_75
Threshold 0.7,0.40935,0.09488112299082468,0_75
Threshold 0.4,0.9816,0.011603447763488211,1_00
Quantile 0.9,0.9742999999999999,0.017268178826963788,1_00
Threshold 0.3,0.9688,0.026244999523718823,1_00
Patch 20,0.9555,0.019138181731815602,1_00
Threshold 0.5,0.9537,0.04852329337545012,1_00
Quantile 0.75,0.9237,0.043692905602626154,1_00
Threshold 0.2,0.9227,0.06314261635377491,1_00
Quantile 0.6,0.8814,0.03377158568974812,1_00
Patch 50,0.8371,0.041794138344988,1_00
Patch 10,0.8152,0.06647164809149837,1_00
Threshold 0.6,0.8076999999999999,0.06808076086531345,1_00
Imbalance-w. class avg.,0.7789,0.07976734921006215,1_00
Equally-w. class avg.,0.7545999999999999,0.0793979848610782,1_00
Mean,0.7512,0.03241357740207031,1_00
Threshold 0.8,0.6152,0.06861078632401761,1_00
Threshold 0.9,0.59235,0.056918955542068744,1_00
Threshold 0.7,0.4397,0.083273224988588,1_00
