Aggregator,AURC,AURC_std
Equally-w. class avg.,0.22581618174088824,0.025648664983371
Imbalance-w. class avg.,0.22581618174088824,0.025648664983371
Mean,0.2393514981843355,0.037623887986958676
Threshold 0.3,0.2672795142486729,0.016970009009365634
Threshold 0.5,0.3361380116729822,0.051547865081592675
Threshold 0.7,0.35170437520172454,0.08662537181854466
Quantile 0.6,0.2393514981843355,0.037623887986958676
Quantile 0.75,0.2393514981843355,0.037623887986958676
Quantile 0.9,0.2393514981843355,0.037623887986958676
Quantile fg. ratio,0.17492082861573977,0.011310896655935713
Patch 10,0.20863033572767634,0.02816991060217192
Patch 20,0.23736259608394397,0.03732127023238884
Patch 50,0.23929495563430614,0.03752988809878786
