Aggregator,AURC,AURC_std
Equally-w. class avg.,0.7260718180452861,0.010209133476772374
Imbalance-w. class avg.,0.7381156982898583,0.011771413135234223
Mean,0.7519688556076184,0.015940562847247326
Threshold 0.3,0.705462377479703,0.014769104230587155
Threshold 0.5,0.7158036533904444,0.019084940255821366
Threshold 0.7,0.722535634415752,0.0110969077372838
Quantile 0.6,0.7535305153527455,0.01228915213149729
Quantile 0.75,0.7515370381400889,0.010126369671097162
Quantile 0.9,0.7380697296917658,0.0043953249222644444
Quantile fg. ratio,0.6892502576928352,0.005899222848387887
Patch 10,0.7506387658821756,0.01939163445697603
Patch 20,0.7447488360290977,0.011555373365323347
Patch 50,0.7635102434967521,0.007447087770692292
