Coverage,Equally-w. class avg. (Mean Risk),Equally-w. class avg. (Std Dev),Imbalance-w. class avg. (Mean Risk),Imbalance-w. class avg. (Std Dev),Mean (Mean Risk),Mean (Std Dev),Threshold 0.3 (Mean Risk),Threshold 0.3 (Std Dev),Threshold 0.4 (Mean Risk),Threshold 0.4 (Std Dev),Threshold 0.5 (Mean Risk),Threshold 0.5 (Std Dev),Quantile 0.6 (Mean Risk),Quantile 0.6 (Std Dev),Quantile 0.75 (Mean Risk),Quantile 0.75 (Std Dev),Quantile 0.9 (Mean Risk),Quantile 0.9 (Std Dev),Patch 10 (Mean Risk),Patch 10 (Std Dev),Patch 20 (Mean Risk),Patch 20 (Std Dev),Patch 50 (Mean Risk),Patch 50 (Std Dev)
0.0,0.3690510430990859,0.0015614770517031386,0.36905104309908815,0.001561477051702711,0.4003449592346361,0.006817359747663359,0.4284307757168039,0.03874884922260988,0.42534367294616043,0.03898645214348477,0.3979043619140221,0.02837077922501527,0.400344959234636,0.006817359747665182,0.40034495923463764,0.006817359747664073,0.39219537659690606,0.01636069707919499,0.369051043099089,0.0015614770517065665,0.36905104309908765,0.0015614770517062518,0.36905104309908643,0.0015614770517047886
0.02,0.3690510430990859,0.0015614770517031386,0.36905104309908815,0.001561477051702711,0.4003449592346361,0.006817359747663359,0.4284307757168039,0.03874884922260988,0.42534367294616043,0.03898645214348477,0.3979043619140221,0.02837077922501527,0.400344959234636,0.006817359747665182,0.40034495923463764,0.006817359747664073,0.39219537659690606,0.01636069707919499,0.369051043099089,0.0015614770517065665,0.36905104309908765,0.0015614770517062518,0.36905104309908643,0.0015614770517047886
0.04,0.3660063369384887,0.01582769944161496,0.36600633693848983,0.015827699441615013,0.3846980011668608,0.0035893804200217683,0.4160933781679651,0.025289020426968033,0.42167643715457553,0.03031078629435865,0.4062529300999761,0.024550675061197177,0.3846980011668607,0.003589380420022463,0.3846980011668616,0.003589380420022061,0.3846980011668606,0.003589380420022117,0.3888401215329096,0.01886898135484338,0.364348338562629,0.006586454586135156,0.38524685180340607,0.016711623414774533
0.06,0.3729202727214081,0.018138836947010156,0.37902523284459594,0.01848149487625816,0.39574294870939414,0.0037419118837689154,0.42039043383837305,0.03169695017951608,0.41275052039086857,0.028213407003265568,0.40246818235446896,0.023362334867904497,0.3962462871788342,0.0030414142742973614,0.39624628717883476,0.003041414274296729,0.39624628717883414,0.0030414142742970856,0.38476801799136756,0.012991690208923167,0.3672795536197074,0.008478510758450642,0.3954090501075291,0.010950857139382915
0.08,0.3847999344157352,0.004394719296879081,0.38597839808492507,0.006065157353720323,0.4041964841032115,0.004348414859553934,0.4233225984181944,0.03207191303017327,0.4160420419137133,0.02285549537755053,0.3962279018103945,0.020910703700409344,0.40419648410321146,0.0043484148595544165,0.40614748073300105,0.005541603202991183,0.4041964841032114,0.004348414859554452,0.3882534369438884,0.010433383731381723,0.3780746996749845,0.00937820875174634,0.39040809348150984,0.005826297084186088
0.1,0.3952736735279523,0.005048877761384491,0.39176508307969654,0.0043067248730702685,0.4114504852687665,0.004571212072802144,0.4267565348128632,0.02474464915227311,0.41038156989875574,0.012996703923725126,0.3983003027800379,0.01593563050708765,0.41223642663224236,0.005095959429301783,0.41048723283492616,0.004442235524317385,0.41145048526876643,0.004571212072802483,0.39523976201857225,0.011742120698326242,0.3843435192509368,0.00876463466777607,0.3936792752092556,0.007489964549799487
0.12,0.3948533838957964,0.008906652204891487,0.3894348719426151,0.0021763435144128577,0.4146531443519067,0.008573957755462035,0.4244088535732606,0.02616990549033189,0.4104995367526444,0.01732296444957029,0.40484668058683626,0.012459444876718994,0.41032313830229983,0.008257328947988862,0.41056867441614825,0.008662691410279972,0.40966818716607,0.008784764818950819,0.39808010095455726,0.0044035368679551335,0.3886628526976014,0.004263331565035839,0.39149058424544747,0.007328615535912033
0.14,0.39607782582115736,0.0065466015511220004,0.3939301262637933,0.0013395851533301588,0.41348338675101737,0.007515693052053905,0.42222219476053724,0.01870060587562924,0.41188219589008856,0.014636249780249532,0.3996643590630153,0.0050850023062445175,0.4093887913444327,0.0030137528752222217,0.41022909113378614,0.007811141861124851,0.4099293261119882,0.004907374562591277,0.4042932816237087,0.0006679024764967633,0.3891645841284099,0.008800948700540474,0.3927473453023937,0.010677331825641187
0.16,0.395066721444586,0.007427769889842288,0.39630644815770066,0.0005308680439554833,0.4127188364558886,0.0031065253913457884,0.4234135575917635,0.018116286034679963,0.4126911735821149,0.009814306745510122,0.4022233928737411,0.0061564606315287,0.4120787136723958,0.0025050697057311735,0.4110509693560611,0.0032677258359985126,0.4123700718714879,0.0027398448416668035,0.4028095965318594,0.004041144550257647,0.39298759574641084,0.00797202986527545,0.39770358272213446,0.010708412305593325
0.18,0.3975118759779245,0.0043458107559866755,0.39512401097910477,0.0039625819024731454,0.4150555073373105,0.003968685977642914,0.4232378241914144,0.014411821220101362,0.415094724167711,0.010571725200617143,0.40654256002829925,0.006494149500189861,0.4133560120163445,0.002709417242841642,0.4133560120163447,0.002709417242841714,0.41438713886340084,0.0015799492032029844,0.40214886363582336,0.00415823753227948,0.3976849538652403,0.008420317070998296,0.3988430019571697,0.0099503055323748
