uq_map_name,dataset_name,noise_level,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,above_quantile_mean_fg_ratio,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}","class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}"
0014_01,joint_noise_lidc_fgbg_texture_tta_pu_0_00,0_00,0.023191693203365404,0.5385695121703892,0.6194641341765722,0.0,0.0,0.0,0.033133301259898766,0.046383375434421045,0.07726109714535341,0.21718656867288236,0.201375413240169,0.33140417492017143,0.14197564648096883,0.05935999078452383,0.014842683650153858,0.009499317536098473,0.09481086624087375,0.09481086624087375
0014_02,joint_noise_lidc_fgbg_texture_tta_pu_0_00,0_00,0.0013901582421696535,0.5948603962148938,0.642460298538208,0.0,0.0,0.0,0.0019860787227051614,0.0027803130339356715,0.00463302278679323,0.01387555061359219,0.06716073769244499,0.0401085527380817,0.014211775176839638,0.0035586185468793447,0.0008897012749885788,0.0005694088159926904,0.021894475986947885,0.021894475986947885
0014_03,joint_noise_lidc_fgbg_texture_tta_pu_0_00,0_00,0.002627283859224697,0.5692978753493383,0.6279154360294342,0.0,0.0,0.0,0.0037535244522223445,0.005254566895293978,0.008756162823004322,0.026204551449301085,0.07997698304913656,0.049787436020155826,0.026673889940786347,0.006725812929271106,0.001681461669903806,0.001076135468738436,0.044308881263859665,0.044308881263859665
0021_02,joint_noise_lidc_fgbg_texture_tta_pu_0_00,0_00,0.0012094908519152568,0.5716709271073341,0.6549975474675497,0.0,0.0,0.0,0.001727964558997464,0.0024189803335395534,0.004030958604327708,0.012082339029411575,0.12064797794389562,0.04946927441347498,0.012383903655471777,0.003096258682720214,0.0007740741452257646,0.0004954074529444893,0.07731138520532624,0.07731138520532624
0022_00,joint_noise_lidc_fgbg_texture_tta_pu_0_00,0_00,0.0014208876638732138,0.6566690291677203,0.6566690291677203,0.0,0.0,0.0,0.002029981046062307,0.0028417719567334432,0.0047353121045314375,0.014169295217812405,0.09498260534213235,0.05659437824027641,0.014494481850152154,0.0036371481601648803,0.0009093681048788571,0.0005819955871224686,0.06486326515589849,0.06486326515589849
0022_05,joint_noise_lidc_fgbg_texture_tta_pu_0_00,0_00,0.0005085866388368474,0.6844542622566223,0.6844542622566223,0.0,0.0,0.0,0.0007266028220011556,0.0010171649493519348,0.0016948318099119326,0.005076274054166921,0.07383486142706326,0.020713262076296635,0.0051992085047740215,0.0013015612586724206,0.0003254954488555824,0.0002083170872675728,0.03412542108471112,0.03412542108471112
0022_09,joint_noise_lidc_fgbg_texture_tta_pu_0_00,0_00,0.0030386047575831354,0.533532037337621,0.6254433870315552,0.0,0.0,0.0,0.004341166654139088,0.006077204429156517,0.010126694752791097,0.030205915183064574,0.12737264457847114,0.06927510198944672,0.030509436360173357,0.007778583493705411,0.0019447070448532072,0.0012446125087060527,0.04529332293085862,0.04529332293085862
0023_01,joint_noise_lidc_fgbg_texture_tta_pu_0_00,0_00,0.0009317737759796771,0.556233823299408,0.6358651965856552,0.0,0.0,0.0,0.0013311981700999335,0.0018635464101327765,0.003105389923526111,0.009307746782675754,0.13127831341638552,0.03812362399672564,0.00953851787271212,0.0023852318889507305,0.0005963352166269934,0.00038165453864127605,0.06838599534851177,0.06838599534851177
0023_03,joint_noise_lidc_fgbg_texture_tta_pu_0_00,0_00,0.0016768518202477198,0.5485618876086341,0.6365302006403605,0.0,0.0,0.0,0.002395669684000386,0.003353702618754528,0.005588426544951893,0.016707062372805056,0.0587044883225842,0.03765499224147788,0.01708664601749945,0.0042924677241173645,0.0010731851649585407,0.0006868385055734664,0.02909988905496151,0.02909988905496151
0023_05,joint_noise_lidc_fgbg_texture_tta_pu_0_00,0_00,0.0005790451577414925,0.5861712495485941,0.5861712495485941,0.0,0.0,0.0,0.0008272650035029664,0.0011580887783278512,0.0019298121628607665,0.00578399580386847,0.06704444124729239,0.023534427996846716,0.0059275681709248474,0.0014823110692209773,0.0003705889009545553,0.00023717689661091553,0.04961168518145444,0.04961168518145444
0023_06,joint_noise_lidc_fgbg_texture_tta_pu_0_00,0_00,0.001209270594397,0.5291381478309631,0.6342786908149719,0.0,0.0,0.0,0.0017276498511848253,0.0024185392311522717,0.004030176695497762,0.012072640969763154,0.10877146718816624,0.049002532675186075,0.012364738947140201,0.003095619585342985,0.0007739331804140805,0.0004953172354650115,0.04130906396757376,0.04130906396757376
0023_08,joint_noise_lidc_fgbg_texture_tta_pu_0_00,0_00,0.00129970049941734,0.5917509496212006,0.6188962970461164,0.0,0.0,0.0,0.0018568444125899185,0.0025993995201094755,0.004331609155081124,0.012983031782491486,0.10615337516472209,0.05310005283451255,0.01330488338572131,0.0033271391366210433,0.0008318083196270979,0.0005323573245613427,0.058464752822267665,0.058464752822267665
0025_00,joint_noise_lidc_fgbg_texture_tta_pu_0_00,0_00,0.005986252833577007,0.5276842388239774,0.6328455299139023,0.0,0.0,0.0,0.008552386172251002,0.011972499307577973,0.019950488758187213,0.05946068153461078,0.1271245231936601,0.09538697948333716,0.06052169828145452,0.015324597090681548,0.003831201813489285,0.002451969160633143,0.07177044711694608,0.07177044711694608
0026_00,joint_noise_lidc_fgbg_texture_tta_pu_0_00,0_00,0.010266033673685301,0.5468402908907997,0.648204748277311,0.0,0.0,0.0,0.01466678506748842,0.020532048305314306,0.03421371326997495,0.1020749314830116,0.17817057558136085,0.12980289829803948,0.09394225908216415,0.026279950141180355,0.006570261551158593,0.004204967392741501,0.084067659647809,0.084067659647809
0038_00,joint_noise_lidc_fgbg_texture_tta_pu_0_00,0_00,0.0010395468992477582,0.44000598788261414,0.5493964354197184,0.0,0.0,0.0,0.0014851704933607625,0.002079089269576617,0.003464510219212456,0.010381540378702772,0.06060236790841113,0.042068122068894806,0.010638534886112931,0.002661082143773272,0.0006653100155185651,0.0004257984099318819,0.030663370321950163,0.030663370321950163
0038_03,joint_noise_lidc_fgbg_texture_tta_pu_0_00,0_00,0.0007848377785757807,0.5776061564683914,0.6100662549336752,0.0,0.0,0.0,0.001121274839386322,0.0015696697082390066,0.002615611034535731,0.007837315473648786,0.07963770530186594,0.03200517670770863,0.008021618137912632,0.002008651777737907,0.0005022961782884997,0.00032146955410463995,0.050689271729697796,0.050689271729697796
0042_02,joint_noise_lidc_fgbg_texture_tta_pu_0_00,0_00,0.003306947509744056,0.5232496417704082,0.64227294921875,0.0,0.0,0.0,0.004724540209717493,0.00661389286593952,0.011021305772082579,0.033033514166908855,0.14778469153168192,0.08270555820578009,0.033857152180756786,0.0084656210648067,0.0021164464062361963,0.001354525699991166,0.05905747699780277,0.05905747699780277
0042_03,joint_noise_lidc_fgbg_texture_tta_pu_0_00,0_00,0.001399760283058325,0.607067883014679,0.6527338226636251,0.0,0.0,0.0,0.0019997969670777667,0.0027995185759766635,0.004665059933945218,0.013979015828053666,0.1233949469701063,0.05689325335871568,0.01432545620008642,0.003583285302297888,0.0008958465811573279,0.00057334181194069,0.06269823298995555,0.06269823298995555
