,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,patch_aggregation_200,class_mean_w_equal_weights,class_mean_weighted_by_occurrence,above_quantile_mean_fg_ratio
mean,1.0,0.5087813071083684,0.34954664463277474,0.7147972243779774,0.012114940060642187,-0.17212036763398925,0.9945320974982925,0.983453499361007,0.9612665993876813,0.9079070295955854,0.7132310437068122,0.7370715681390494,0.7741454752567805,0.8403374846876553,0.8656035705463296,0.9328496844861947,0.7834983762475212,0.9089754530815354,0.4377182440937037
above_threshold_mean_0.3,0.5087813071083684,1.0,0.5758381987613318,0.5913046054820528,0.34055796949938655,0.307076783593671,0.5139653316062951,0.5142306546182661,0.5153392369636571,0.531802799084955,0.5316123450118428,0.4932908002172908,0.4796995396884407,0.48945429101172405,0.495563721769826,0.6231667594847083,0.7108740700183088,0.66511592527857,-0.03838007192870114
above_threshold_mean_0.5,0.34954664463277474,0.5758381987613318,1.0,0.4643479313555317,0.1819625823236211,0.12811485598448735,0.36723762266292026,0.3787220476988697,0.3977917259072138,0.44725018010571865,0.5509455068441103,0.5062569731049279,0.4576137849752457,0.42065774475620665,0.410380139715247,0.4311247861410128,0.5182657241293821,0.41200665606931647,0.11032625376181462
above_threshold_mean_0.7,0.7147972243779774,0.5913046054820528,0.4643479313555317,1.0,0.24767465512916784,0.15319215943374062,0.7280169726325655,0.7289267936360079,0.7350661940891019,0.770437981172902,0.8115426256968458,0.7581470319922233,0.6977329891155766,0.6816046223461157,0.6859554984619436,0.6890953155071584,0.7783520730456001,0.75013843073244,0.2695543099224415
above_threshold_mean_0.9,0.012114940060642187,0.34055796949938655,0.1819625823236211,0.24767465512916784,1.0,0.5812308869602851,0.017875360075502666,0.016551720953216494,0.02875938286243073,0.09953000536813549,0.3064393427580171,0.19977608919804915,0.08107890082552921,0.005123588662813695,-0.006167122621369689,-0.017910066761435955,0.2518559258398566,0.21814660941492456,0.22475212483722248
above_threshold_mean_0.95,-0.17212036763398925,0.307076783593671,0.12811485598448735,0.15319215943374062,0.5812308869602851,1.0,-0.1793884016804326,-0.18315233006643972,-0.17817631446777196,-0.10950729828170665,0.15636599087955952,0.016300125391634484,-0.11043848002843418,-0.18216282969433212,-0.19030106470478203,-0.20184302463729267,0.19183746410522695,0.18819276529423432,0.09655852255032596
above_quantile_mean_0.3,0.9945320974982925,0.5139653316062951,0.36723762266292026,0.7280169726325655,0.017875360075502666,-0.1793884016804326,1.0,0.9961981763344298,0.9813554820528863,0.9345234190275302,0.7388231138887794,0.7678404996465548,0.8065601707086082,0.8684600261119058,0.8909289840276352,0.9454790792599679,0.7981372372764393,0.8937279219067866,0.40965983899450115
above_quantile_mean_0.5,0.983453499361007,0.5142306546182661,0.3787220476988697,0.7289267936360079,0.016551720953216494,-0.18315233006643972,0.9961981763344298,1.0,0.9935001551479694,0.9532265665984663,0.7553493206905983,0.7913365354889946,0.8345801816222378,0.8934810123154191,0.9131708677797413,0.9543148134896553,0.8048109510054698,0.8753265243276616,0.41224356366856296
above_quantile_mean_0.7,0.9612665993876813,0.5153392369636571,0.3977917259072138,0.7350661940891019,0.02875938286243073,-0.17817631446777196,0.9813554820528863,0.9935001551479694,1.0,0.976659370786908,0.7863164167061033,0.8278689782206659,0.8710383796107536,0.9198291762699649,0.934327297262633,0.9560933139933131,0.8118325138538932,0.845345360553657,0.42138251913881386
above_quantile_mean_0.9,0.9079070295955854,0.531802799084955,0.44725018010571865,0.770437981172902,0.09953000536813549,-0.10950729828170665,0.9345234190275302,0.9532265665984663,0.976659370786908,1.0,0.8630389090827327,0.8961064591048858,0.9153260441356772,0.9292797421749448,0.9326104158663091,0.9263694649784394,0.8273973063555199,0.8002116504463194,0.40143539486739654
patch_aggregation_10,0.7132310437068122,0.5316123450118428,0.5509455068441103,0.8115426256968458,0.3064393427580171,0.15636599087955952,0.7388231138887794,0.7553493206905983,0.7863164167061033,0.8630389090827327,1.0,0.9646156834357094,0.8819808662427644,0.811994131147714,0.7970554956134082,0.7523660144800308,0.8094859986311035,0.7060540540026765,0.3421269433864137
patch_aggregation_20,0.7370715681390494,0.4932908002172908,0.5062569731049279,0.7581470319922233,0.19977608919804915,0.016300125391634484,0.7678404996465548,0.7913365354889946,0.8278689782206659,0.8961064591048858,0.9646156834357094,1.0,0.9561906672189902,0.89008661007565,0.8717870923759353,0.8196023282062685,0.7815743856931764,0.6681439968090691,0.35108930419911993
patch_aggregation_40,0.7741454752567805,0.4796995396884407,0.4576137849752457,0.6977329891155766,0.08107890082552921,-0.11043848002843418,0.8065601707086082,0.8345801816222378,0.8710383796107536,0.9153260441356772,0.8819808662427644,0.9561906672189902,1.0,0.9627324519023626,0.9444811934084482,0.881344521670333,0.7602182745711386,0.660020255890571,0.3764770483470991
patch_aggregation_80,0.8403374846876553,0.48945429101172405,0.42065774475620665,0.6816046223461157,0.005123588662813695,-0.18216282969433212,0.8684600261119058,0.8934810123154191,0.9198291762699649,0.9292797421749448,0.811994131147714,0.89008661007565,0.9627324519023626,1.0,0.9946065278126948,0.9438927866360306,0.7653775851742918,0.7133567324828118,0.3948316545417196
