0,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,above_quantile_mean_fg_ratio,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}","class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}"
mean,1.0,0.752406249035647,-0.23334374973262315,-0.24919474589328752,-0.3151323102213555,-0.183864063350388,0.9822862409455896,0.9606641468848193,0.930702215282089,0.7826294185253134,0.703753252460236,0.2612840593938493,0.3233317550750249,0.6672680404545062,0.7901776066485652,0.8039166635459825,0.42795464676522393,0.6783681069394475
above_threshold_mean_0.3,0.752406249035647,1.0,-0.16885411973157782,-0.14407349870577046,-0.15860127165701382,-0.04510505417683192,0.8053986024837755,0.8390545877114322,0.8416968342778484,0.722127669159879,0.6428665148174,0.271684640987769,0.3304028765838888,0.7167021946050236,0.7931045371286493,0.8002881714527152,0.6012186478820526,0.6661259478158152
above_threshold_mean_0.5,-0.23334374973262315,-0.16885411973157782,1.0,0.7140437923148395,0.35800134926612037,0.30666063132135735,-0.20542164548619757,-0.16791090826261917,-0.03775327877094182,0.3598733901892403,0.3087495840908095,0.2550799444534551,0.32911423165658343,-0.10265033855861236,-0.20626401119659185,-0.1920652461082066,0.20834628274133246,0.31014475164431177
above_threshold_mean_0.7,-0.24919474589328752,-0.14407349870577046,0.7140437923148395,1.0,0.5937717626821176,0.44808827648241606,-0.21762501197163972,-0.1864096309222877,-0.09750260618863814,0.27062073274138226,0.26942342319725304,0.21353534997188686,0.28839281146417,-0.17695885998216274,-0.3630960130187159,-0.3179568132501381,0.2575406960829575,0.133324525485352
above_threshold_mean_0.9,-0.3151323102213555,-0.15860127165701382,0.35800134926612037,0.5937717626821176,1.0,0.9553216311864473,-0.3069831985714322,-0.2896928901059795,-0.2393576574254509,-0.01939986446832348,-0.022464521362788006,0.4530006969246188,0.38986580747050387,-0.30063175496421113,-0.37614773916462463,-0.3670862349110808,0.14236709158423955,-0.03174812857480976
above_threshold_mean_0.95,-0.183864063350388,-0.04510505417683192,0.30666063132135735,0.44808827648241606,0.9553216311864473,1.0,-0.1808160668769817,-0.16537601509790545,-0.12376604678163634,0.053322198875745186,0.042273754954302585,0.5402130326527698,0.4536043950291839,-0.20763302303545764,-0.22650046492365208,-0.22565069928687995,0.1679326528648294,0.0649250531224233
above_quantile_mean_0.3,0.9822862409455896,0.8053986024837755,-0.20542164548619757,-0.21762501197163972,-0.3069831985714322,-0.1808160668769817,1.0,0.993533359575035,0.9715211544088326,0.8151450874279892,0.7360667742994801,0.2984426777367671,0.37685939561193743,0.7313295267516594,0.8354390982262264,0.8481324945690483,0.48915949088812666,0.7153531397825413
above_quantile_mean_0.5,0.9606641468848193,0.8390545877114322,-0.16791090826261917,-0.1864096309222877,-0.2896928901059795,-0.16537601509790545,0.993533359575035,1.0,0.9882701714895055,0.8371390482316204,0.7479867846460748,0.3125040259877496,0.4065341243417718,0.7620030508272213,0.848243097633511,0.8593559542812614,0.5380740745353905,0.7300551625200787
above_quantile_mean_0.7,0.930702215282089,0.8416968342778484,-0.03775327877094182,-0.09750260618863814,-0.2393576574254509,-0.12376604678163634,0.9715211544088326,0.9882701714895055,1.0,0.8960736183236466,0.7812775169966768,0.345844553118714,0.45861383573312414,0.7682467321809322,0.8294861238250693,0.841448244638837,0.5858015363579813,0.766390564973028
above_quantile_mean_0.9,0.7826294185253134,0.722127669159879,0.3598733901892403,0.27062073274138226,-0.01939986446832348,0.053322198875745186,0.8151450874279892,0.8371390482316204,0.8960736183236466,1.0,0.8965546398170933,0.4261521663041889,0.5484244230244218,0.6285629087182842,0.6539285297306591,0.6788991767326623,0.6263132352692375,0.8614277673746832
