uq_map_name,dataset_name,noise_level,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,above_quantile_mean_fg_ratio,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 255}","class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 255}"
00002,joint_noise_gta_semantic_cityscapes_softmax_pu_0_00,0_00,0.1244621808539169,0.0,0.0,0.0,0.0,0.0,0.14778889514121518,0.16413153759885998,0.19977695914475252,0.2476716674435616,0.1656750501373122,0.274075893422021,0.2690358302395369,0.25811755805597847,0.24138655552858496,0.21459308528406137,0.1373518228290721,0.105191026175622
00005,joint_noise_gta_semantic_cityscapes_softmax_pu_0_00,0_00,0.08124911240352282,0.0,0.0,0.0,0.0,0.0,0.11583922929851953,0.135895173630158,0.15515879407435612,0.23556303883105617,0.13213859301269645,0.2805930085324577,0.27024858707380855,0.23381854928308177,0.1692097612694158,0.15546314732652033,0.1049058679262529,0.06769032917859101
00008,joint_noise_gta_semantic_cityscapes_softmax_pu_0_00,0_00,0.08372238909001219,0.0,0.0,0.0,0.0,0.0,0.11742686560169856,0.13243832067379177,0.14979664160482584,0.22651363905209926,0.12880845303964256,0.2846588545646546,0.2805808310015271,0.21125848378735557,0.15778461253338688,0.14681805751810603,0.1293668867585089,0.07691441777719184
00010,joint_noise_gta_semantic_cityscapes_softmax_pu_0_00,0_00,0.09026284925828797,0.0,0.0,0.0,0.0,0.0,0.12703896539900944,0.13732073871940387,0.15750677586845258,0.23801375153699714,0.1344170647028001,0.2780665966749638,0.27429317033437733,0.2368241441834952,0.17041624125703375,0.15722547223391112,0.10769531688827483,0.0757999677802508
00015,joint_noise_gta_semantic_cityscapes_softmax_pu_0_00,0_00,0.08552481269926951,0.0,0.0,0.0,0.0,0.0,0.12070566570427174,0.13017927736870424,0.1455562024472482,0.20699104529725065,0.12773088976178706,0.26129091011178956,0.25409914182043986,0.19841508978206715,0.15125901690454954,0.1422491085481505,0.1160452598704862,0.07584056050530733
00022,joint_noise_gta_semantic_cityscapes_softmax_pu_0_00,0_00,0.07941761736360967,0.0,0.0,0.0,0.0,0.0,0.1133252291778366,0.14444817418140615,0.1696147829420642,0.25653913312380033,0.12156204088562085,0.28224785545031794,0.2790271361694746,0.256334910420343,0.1918432719871976,0.17436997189400466,0.08194819690858074,0.054258002108104234
00026,joint_noise_gta_semantic_cityscapes_softmax_pu_0_00,0_00,0.10880956886821903,0.0,0.0,0.0,0.0,0.0,0.1387342877561462,0.15159135525988512,0.18064901787190277,0.2494174988614629,0.1407527329834653,0.27961616252989413,0.2758066762244604,0.25658214508703564,0.19482614175624316,0.17612345097863508,0.11389918085717436,0.08833517565826321
00029,joint_noise_gta_semantic_cityscapes_softmax_pu_0_00,0_00,0.09426402293637098,0.0,0.0,0.0,0.0,0.0,0.13399938624492888,0.15183116003358565,0.18073156412892727,0.24740815731757587,0.14535752450462627,0.2832367555285166,0.27836793074851923,0.24358167027746094,0.19080176898146367,0.17875126878690986,0.12721034762229627,0.07487285698406702
00030,joint_noise_gta_semantic_cityscapes_softmax_pu_0_00,0_00,0.09436584987208275,0.0,0.0,0.0,0.0,0.0,0.13268703131904672,0.15403569690998187,0.18557786105882015,0.2573799598046104,0.14201388617646976,0.2852652431564199,0.2831240472205968,0.27314875115200105,0.2089500052962927,0.18708677411269165,0.13352031075051496,0.07018438912900864
00031,joint_noise_gta_semantic_cityscapes_softmax_pu_0_00,0_00,0.09148193577650571,0.0,0.0,0.0,0.0,0.0,0.11601888316461602,0.12007944763035922,0.12894859185923888,0.16657924169943245,0.12037081134625596,0.24645699501425666,0.20429084517361715,0.15910863195803907,0.12522990612093107,0.11857064006018356,0.10237314813005755,0.08946111867459626
00034,joint_noise_gta_semantic_cityscapes_softmax_pu_0_00,0_00,0.0670721932853206,0.0,0.0,0.0,0.0,0.0,0.09503635426575173,0.12089620442052312,0.13075313954597217,0.17406143177072889,0.10076233721855282,0.27533143105614905,0.2723985639960902,0.20296710207572194,0.14244708833431505,0.12954590997020338,0.07376900283387869,0.06406756611950072
00050,joint_noise_gta_semantic_cityscapes_softmax_pu_0_00,0_00,0.09645366349802123,0.0,0.0,0.0,0.0,0.0,0.13099001970249333,0.14081775813715317,0.16315404693010632,0.23886854414148356,0.13518973602517492,0.2784403774854331,0.2729330278516262,0.23601328813918485,0.17036280383699307,0.15715434813504592,0.1149039391760801,0.08242854089222333
00051,joint_noise_gta_semantic_cityscapes_softmax_pu_0_00,0_00,0.08662870547416333,0.0,0.0,0.0,0.0,0.0,0.12203999875276267,0.13340469111347525,0.15144957879199508,0.2194351915512482,0.1305531039045145,0.26237270164895277,0.24661664301350306,0.20266726587640313,0.15002267248961781,0.14085429423320575,0.14243582463061502,0.07356810927501611
00054,joint_noise_gta_semantic_cityscapes_softmax_pu_0_00,0_00,0.07391312017880068,0.0,0.0,0.0,0.0,0.0,0.10509573007294211,0.12453669025127466,0.1371204036066135,0.19270502335958448,0.12257584698989446,0.26643066848568825,0.24147285679923575,0.19170393525297538,0.14788318946378237,0.13828512410820512,0.12621797595235182,0.06421263735159372
00057,joint_noise_gta_semantic_cityscapes_softmax_pu_0_00,0_00,0.09483516027703512,0.0,0.0,0.0,0.0,0.0,0.12285402343402617,0.1297189160451262,0.1452219694685119,0.18652687944423185,0.12732171376235454,0.2544579885725146,0.22453284668985699,0.16596853046035098,0.13386774779979663,0.12700160586100812,0.10186685443929783,0.08540838455897493
00058,joint_noise_gta_semantic_cityscapes_softmax_pu_0_00,0_00,0.07420990748825226,0.0,0.0,0.0,0.0,0.0,0.10567234198183781,0.1253313962956102,0.1381750193692623,0.1978173786715913,0.12315661131165094,0.25540157150799864,0.24883997882587583,0.19628354343893512,0.1482803509981328,0.13938476667528554,0.08407342251414099,0.06413056207434982
00065,joint_noise_gta_semantic_cityscapes_softmax_pu_0_00,0_00,0.09781100323987733,0.0,0.0,0.0,0.0,0.0,0.12320469100803513,0.13004997381836877,0.1455963128825676,0.20386223524395686,0.12869419510265415,0.25046805146447343,0.24483397630629863,0.19114515980046967,0.1447846046724847,0.1357882428380036,0.13130622143926876,0.08569098988177634
00066,joint_noise_gta_semantic_cityscapes_softmax_pu_0_00,0_00,0.08027828347348072,0.0,0.0,0.0,0.0,0.0,0.11380894476270424,0.1253697529322376,0.13940888479838348,0.1889820990318424,0.08027828347348072,0.25354668575051686,0.24152363509220273,0.18963055696108988,0.14662847806699533,0.13720177965815603,0.08897904516905641,0.07174804056514707
00074,joint_noise_gta_semantic_cityscapes_softmax_pu_0_00,0_00,0.06638679461917074,0.0,0.0,0.0,0.0,0.0,0.09451121560226897,0.12092674393914418,0.13090829330848694,0.17657137188994043,0.10354971262891048,0.2521624295837476,0.24847277842177537,0.185060606936547,0.1437709930863228,0.13487069867142362,0.10021006748488491,0.057169990966047066
00088,joint_noise_gta_semantic_cityscapes_softmax_pu_0_00,0_00,0.09756878221041844,0.0,0.0,0.0,0.0,0.0,0.12312707316514998,0.12985586013884506,0.14484855332343313,0.18681804222486612,0.1243701188704159,0.26799085984202714,0.21969731817342575,0.16382002317419292,0.13389663803272422,0.12747169453278956,0.10798175530692462,0.09069290361256352
00089,joint_noise_gta_semantic_cityscapes_softmax_pu_0_00,0_00,0.10187567385000701,0.0,0.0,0.0,0.0,0.0,0.12445106819515295,0.13168236372605516,0.14768750705419875,0.19089169669512232,0.1265671509781513,0.25037816869498547,0.2287569339967387,0.2071314850209345,0.1453327192263041,0.13434445671912285,0.09680700072611592,0.09382596072555821
00100,joint_noise_gta_semantic_cityscapes_softmax_pu_0_00,0_00,0.08655709584151212,0.0,0.0,0.0,0.0,0.0,0.12232222876976877,0.13076718314393473,0.14681127803564617,0.1969630620417506,0.1256534177827653,0.25605139854640036,0.23505438486104857,0.19610362156466907,0.14762220693285438,0.13983704555581344,0.08810863557446563,0.07588017355810454
