,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,above_quantile_mean_fg_ratio,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,patch_aggregation_200,class_mean_w_equal_weights,class_mean_weighted_by_occurrence
mean,1.0,0.17192785571142283,0.07352304609218435,0.09769939879759518,0.13796649297069968,0.05561072542533807,0.7543887775551101,0.6854348697394789,0.6627174348697393,0.5498356713426853,0.6138517034068136,0.23512625250500999,0.31374749498997995,0.39644088176352693,0.467382765531062,0.49944689378757506,0.6776112224448897,0.2544448897795591,0.8406252505010019
above_threshold_mean_0.3,0.17192785571142283,1.0,0.5034549098196391,0.3141482965931863,0.3259001165533234,0.12975835932578883,0.22813627254509014,0.2436713426853707,0.3039679358717435,0.5396553106212424,0.2834789579158316,0.4617394789579158,0.44711823647294585,0.4029979959919839,0.29858116232464926,0.25795591182364724,0.2311022044088176,0.2547174348697394,0.177875751503006
above_threshold_mean_0.5,0.07352304609218435,0.5034549098196391,1.0,0.4973947895791582,0.35851592072093785,0.12068078858511579,0.10972344689378756,0.11506212424849697,0.15339478957915828,0.34582765531062115,0.17689779559118232,0.5556553106212424,0.48806412825651296,0.30629258517034064,0.15743486973947893,0.12097795591182363,0.11365130260521039,0.2585971943887775,0.08258116232464928
above_threshold_mean_0.7,0.09769939879759518,0.3141482965931863,0.4973947895791582,1.0,0.4669148155209964,0.16471124853286628,0.13979959919839677,0.15119839679358715,0.1726332665330661,0.27929458917835664,0.17731462925851701,0.6752224448897794,0.4527935871743486,0.23103807615230457,0.14534669338677353,0.13232865731462923,0.1263807615230461,0.18231663326653305,0.08389579158316632
above_threshold_mean_0.9,0.13796649297069968,0.3259001165533234,0.35851592072093785,0.4669148155209964,1.0,0.2699333045798044,0.1906301135030232,0.19832097171077123,0.22282385837874902,0.3110108026450307,0.17860142368419774,0.5050173904831627,0.3664647040515067,0.2586754504508428,0.2010174616311707,0.18837913061295058,0.18239995731119527,0.17041816296924633,0.12499989361434401
above_threshold_mean_0.95,0.05561072542533807,0.12975835932578883,0.12068078858511579,0.16471124853286628,0.2699333045798044,1.0,0.08954556931570454,0.09938667404391083,0.11372414558759066,0.13756337342057312,0.0808921841236611,0.17862453452791655,0.1428232742235799,0.10371336663993255,0.0945509587895336,0.09276937948528936,0.10379820374965847,0.07614130597900978,0.04602413202630953
above_quantile_mean_0.3,0.7543887775551101,0.22813627254509014,0.10972344689378756,0.13979959919839677,0.1906301135030232,0.08954556931570454,1.0,0.91963126252505,0.8656513026052103,0.6615150300601201,0.6703486973947895,0.2962084168336673,0.3805370741482966,0.4878236472945891,0.5767214428857714,0.6185010020040079,0.7797675350701402,0.2301402805611222,0.6192545090180359
above_quantile_mean_0.5,0.6854348697394789,0.2436713426853707,0.11506212424849697,0.15119839679358715,0.19832097171077123,0.09938667404391083,0.91963126252505,1.0,0.9305651302605209,0.6891703406813626,0.650004008016032,0.31107014028056107,0.3960400801603206,0.507751503006012,0.6110140280561122,0.6570581162324649,0.7754869739478957,0.21774749498997992,0.559695390781563
above_quantile_mean_0.7,0.6627174348697393,0.3039679358717435,0.15339478957915828,0.1726332665330661,0.22282385837874902,0.11372414558759066,0.8656513026052103,0.9305651302605209,1.0,0.7479599198396792,0.6528737474949898,0.3427655310621242,0.4258436873747494,0.5337715430861723,0.6265811623246492,0.6632304609218436,0.75963126252505,0.2313587174348697,0.5511182364729458
above_quantile_mean_0.9,0.5498356713426853,0.5396553106212424,0.34582765531062115,0.27929458917835664,0.3110108026450307,0.13756337342057312,0.6615150300601201,0.6891703406813626,0.7479599198396792,1.0,0.5893707414829659,0.4744048096192384,0.5356152304609217,0.5872705410821643,0.5758076152304609,0.5721202404809619,0.6160961923847694,0.27905410821643284,0.49223246492985967
above_quantile_mean_fg_ratio,0.6138517034068136,0.2834789579158316,0.17689779559118232,0.17731462925851701,0.17860142368419774,0.0808921841236611,0.6703486973947895,0.650004008016032,0.6528737474949898,0.5893707414829659,1.0,0.30996392785571136,0.35815631262525044,0.40673346693386764,0.44471342685370735,0.4667735470941883,0.5871262525050099,0.25591983967935866,0.5390941883767534
patch_aggregation_10,0.23512625250500999,0.4617394789579158,0.5556553106212424,0.6752224448897794,0.5050173904831627,0.17862453452791655,0.2962084168336673,0.31107014028056107,0.3427655310621242,0.4744048096192384,0.30996392785571136,1.0,0.6231823647294589,0.3886332665330661,0.29457314629258513,0.2803366733466933,0.2809939879759519,0.2371462925851703,0.21067735470941878
patch_aggregation_20,0.31374749498997995,0.44711823647294585,0.48806412825651296,0.4527935871743486,0.3664647040515067,0.1428232742235799,0.3805370741482966,0.3960400801603206,0.4258436873747494,0.5356152304609217,0.35815631262525044,0.6231823647294589,1.0,0.5788376753507013,0.4238236472945891,0.40205210420841675,0.37494188376753507,0.2763927855711423,0.28147494989979954
patch_aggregation_40,0.39644088176352693,0.4029979959919839,0.30629258517034064,0.23103807615230457,0.2586754504508428,0.10371336663993255,0.4878236472945891,0.507751503006012,0.5337715430861723,0.5872705410821643,0.40673346693386764,0.3886332665330661,0.5788376753507013,1.0,0.6451623246492985,0.5927374749498997,0.49232865731462916,0.29662525050100197,0.3452184368737474
patch_aggregation_80,0.467382765531062,0.29858116232464926,0.15743486973947893,0.14534669338677353,0.2010174616311707,0.0945509587895336,0.5767214428857714,0.6110140280561122,0.6265811623246492,0.5758076152304609,0.44471342685370735,0.29457314629258513,0.4238236472945891,0.6451623246492985,1.0,0.8611623246492984,0.6249619238476953,0.2402404809619238,0.3893547094188376
patch_aggregation_100,0.49944689378757506,0.25795591182364724,0.12097795591182363,0.13232865731462923,0.18837913061295058,0.09276937948528936,0.6185010020040079,0.6570581162324649,0.6632304609218436,0.5721202404809619,0.4667735470941883,0.2803366733466933,0.40205210420841675,0.5927374749498997,0.8611623246492984,1.0,0.6693707414829658,0.22677354709418834,0.4102284569138276
patch_aggregation_200,0.6776112224448897,0.2311022044088176,0.11365130260521039,0.1263807615230461,0.18239995731119527,0.10379820374965847,0.7797675350701402,0.7754869739478957,0.75963126252505,0.6160961923847694,0.5871262525050099,0.2809939879759519,0.37494188376753507,0.49232865731462916,0.6249619238476953,0.6693707414829658,1.0,0.2299959919839679,0.5739959919839679
class_mean_w_equal_weights,0.2544448897795591,0.2547174348697394,0.2585971943887775,0.18231663326653305,0.17041816296924633,0.07614130597900978,0.2301402805611222,0.21774749498997992,0.2313587174348697,0.27905410821643284,0.25591983967935866,0.2371462925851703,0.2763927855711423,0.29662525050100197,0.2402404809619238,0.22677354709418834,0.2299959919839679,1.0,0.2501963927855711
class_mean_weighted_by_occurrence,0.8406252505010019,0.177875751503006,0.08258116232464928,0.08389579158316632,0.12499989361434401,0.04602413202630953,0.6192545090180359,0.559695390781563,0.5511182364729458,0.49223246492985967,0.5390941883767534,0.21067735470941878,0.28147494989979954,0.3452184368737474,0.3893547094188376,0.4102284569138276,0.5739959919839679,0.2501963927855711,1.0
