uq_map_name,dataset_name,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,above_quantile_mean_fg_ratio,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,class_mean_w_equal_weights,class_mean_weighted_by_occurrence
C02,wormbodies_0_00_softmax_pu,0.0499120841920846,0.6415857711068874,0.792778240892113,0.8886647505180163,0.9662006546370394,0.9833285478843882,0.06694879428861707,0.08821142961655484,0.13593304195033895,0.35317965889165426,0.5079727219053979,0.7655102434553485,0.47026058036154483,0.2769923602551164,0.2057592851397566,0.1718809806053721,0.25273122856473385,0.25273122856473385
B07,wormbodies_0_00_softmax_pu,0.051548510611346694,0.6558949470767432,0.7905972116699642,0.8865178664475051,0.9642369611314784,0.9832113968320187,0.06918056765732812,0.09130008755929359,0.14098622919155732,0.3700855246521555,0.5448864980835172,0.929922760847418,0.7758609187145482,0.5938804588462837,0.314994331488501,0.22749373273391474,0.2750093993337478,0.2750093993337478
B16,wormbodies_0_00_softmax_pu,0.051229412329193764,0.6608269840811876,0.7882472861952042,0.8888020485693032,0.9656094206820853,0.9832895650793354,0.06818298524555023,0.08932102869852901,0.13651804709881188,0.34700930880975966,0.606943346751656,0.8845183654480497,0.6533994593608112,0.4261812496731136,0.23748140826271333,0.18516327729437043,0.2945706733363048,0.2945706733363048
B03,wormbodies_0_00_softmax_pu,0.05269918066503066,0.6379689956669108,0.7822167304092361,0.8859655249595823,0.9652240807599339,0.9829118404766247,0.07099159804506489,0.09384543681221903,0.145281763118832,0.3765757700204681,0.5310516815193717,0.8246444049186475,0.5477534418803368,0.365897103679047,0.2045028438199181,0.17596059365197428,0.2509740100718522,0.2509740100718522
B12,wormbodies_0_00_softmax_pu,0.059366438645366205,0.665976679697916,0.7958454813215562,0.8915938282354003,0.9664874664665629,0.9833065571057923,0.07909180416240061,0.10352045872475574,0.1578672917567079,0.3940633850285,0.6281120533844354,0.9471490543762668,0.6302916616939683,0.4003391591389476,0.21803524011301767,0.1781821705928984,0.32574026243452264,0.32574026243452264
B21,wormbodies_0_00_softmax_pu,0.04665007312266262,0.6448415862634982,0.7874020219887811,0.8878386722301487,0.9647827435772288,0.9828351733033545,0.0620510845362624,0.08125470941539108,0.12439718977709074,0.32307699080681085,0.5581139506259516,0.8308203092203936,0.6268255154077178,0.38036837482743147,0.18325077765948675,0.1505096369372799,0.25893165799301127,0.25893165799301127
A09,wormbodies_0_00_softmax_pu,0.04917140015549767,0.6589914643961906,0.7923048113371384,0.8895246961174724,0.9664208206207799,0.9831405794902421,0.06566141524851557,0.08623001622538809,0.13211703474146683,0.3346077476519011,0.4874536941453994,0.8897912767762454,0.6113290487117389,0.2632997206870854,0.1587423745691007,0.1323539977963018,0.24597168409440406,0.24597168409440406
A05,wormbodies_0_00_softmax_pu,0.05085609451832591,0.644632879941667,0.7859376165932432,0.8885723303427042,0.9651139271742217,0.9830854239687905,0.06851248022012837,0.0907263802867034,0.14070636167725667,0.36984715462167167,0.5143294239808147,0.759868963884629,0.6122200655625483,0.39213900285103054,0.22534735423076807,0.18649656040974627,0.26315549804951077,0.26315549804951077
A01,wormbodies_0_00_softmax_pu,0.05010109788232227,0.6365378519411733,0.7826997455417359,0.8837508244897254,0.9643108485554781,0.9836691069129052,0.06713996743731013,0.08845269705626307,0.1363427396626664,0.3552096697675462,0.5310917766646598,0.8511173138543445,0.6254531630231049,0.4292771443728716,0.22460912694569654,0.20164432986655847,0.2671271753896007,0.2671271753896007
A10,wormbodies_0_00_softmax_pu,0.05302853648300991,0.6549231106691029,0.7906020219097267,0.8879508582694413,0.9656832083897929,0.9833023871019875,0.070987242984033,0.09338881803771155,0.14321360301571487,0.36121809415183637,0.5245226116860809,0.8417635594903797,0.5183032413274331,0.3722153430610249,0.19100367000327773,0.17634610230213515,0.2668441162354235,0.2668441162354235
