,uq_map_name,dataset_name,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,patch_aggregation_200,class_mean_w_equal_weights,class_mean_weighted_by_occurrence,above_quantile_mean_fg_ratio
0,ADE_val_00000001,ADE20K_validation_deeplabv3_semantic_dropout_pu,0.075248636416897,0.3814948690638234,0.5254167896677144,0.0,0.0,0.0,0.1063282171037185,0.1452984772347579,0.1915296111268101,0.2805494833939472,0.5156024281482207,0.4999896883580035,0.4627184202074142,0.2884020337031122,0.2441679326843264,0.1749007820611109,0.198248784664108,0.075248636416897,
1,ADE_val_00000002,ADE20K_validation_deeplabv3_semantic_dropout_pu,0.0999194368975366,0.4546759938793668,0.5545053888056941,0.0,0.0,0.0,0.1413680262375803,0.1941821505478562,0.2935939354995657,0.4834323504192057,0.6470945957424828,0.6137580188788091,0.5628683427612775,0.4059841233670706,0.3384855351867065,0.1907676477110379,0.3654829531067181,0.0999194368975366,
2,ADE_val_00000003,ADE20K_validation_deeplabv3_semantic_dropout_pu,0.1305182010351974,0.3955116748875638,0.5500488762454071,0.0,0.0,0.0,0.1838215823696588,0.2473014012129411,0.3400172750704545,0.4459178331168787,0.6230424217045126,0.5313729489080905,0.4558347330166019,0.3566824314424879,0.3324440812270021,0.2436972352721621,0.3254163454745559,0.1305182010351974,
3,ADE_val_00000004,ADE20K_validation_deeplabv3_semantic_dropout_pu,0.0749087827056073,0.385964413553779,0.5382240550741856,0.0,0.0,0.0,0.1058120570183754,0.1445267502163475,0.2088124719430411,0.3452428444037459,0.571134260133225,0.4637920071090407,0.409968608134947,0.3452710400045291,0.3244007917554678,0.2158757963366342,0.2803737474479139,0.0749087827056074,
4,ADE_val_00000005,ADE20K_validation_deeplabv3_semantic_dropout_pu,0.0531741584259675,0.3136171757366791,0.0,0.0,0.0,0.0,0.0733223155965766,0.0946655357824886,0.1284416914201962,0.1854650170289575,0.3141004129243878,0.2788884740164277,0.2167639743780798,0.136080436717386,0.1092814040575648,0.0681645571474568,0.0983974360880616,0.0531741584259675,
5,ADE_val_00000006,ADE20K_validation_deeplabv3_semantic_dropout_pu,0.0777691434086567,0.4005794415067671,0.555277693071363,0.7080848214846335,0.0,0.0,0.107112731852877,0.143646867434994,0.2242612608632819,0.3937071643483243,0.6417814475819514,0.5962145880182361,0.4991806889940822,0.3943380101779993,0.3627402243559661,0.2102529107054878,0.4220823437021309,0.0777691434086567,
6,ADE_val_00000007,ADE20K_validation_deeplabv3_semantic_dropout_pu,0.0584411445763985,0.365321183596467,0.5235650296671399,0.0,0.0,0.0,0.0806629047159232,0.1041681652502854,0.1426889830669548,0.2215642608376611,0.4363655010504977,0.3787168779407451,0.3337582370488461,0.2236198620783699,0.1673774088051602,0.078176560814505,0.1683548991691963,0.0584411445763985,
7,ADE_val_00000008,ADE20K_validation_deeplabv3_semantic_dropout_pu,0.1549484666720635,0.4390574541174805,0.5684146789494653,0.7217379040968169,0.0,0.0,0.2176435472805318,0.2906368046808777,0.3974131125185566,0.5266161326972116,0.7237229488014549,0.6767701915606811,0.5895632585412138,0.5080158506217642,0.4621317029455228,0.3366651447922427,0.3968811469774999,0.1549484666720635,
8,ADE_val_00000009,ADE20K_validation_deeplabv3_semantic_dropout_pu,0.1471212286581315,0.4071867550410389,0.5519057522879143,0.713492751968008,0.0,0.0,0.2035185805305631,0.268839708872722,0.367517242861719,0.4773391732793018,0.7103348220923915,0.664842312690872,0.5629908485151714,0.4658372051952381,0.4423330082757548,0.3062958394772407,0.3566255753441819,0.1471212286581314,
9,ADE_val_00000010,ADE20K_validation_deeplabv3_semantic_dropout_pu,0.2104240219718969,0.4416420348098557,0.5697055332531992,0.7114631142047848,0.0,0.0,0.2873972342592586,0.3547593308048438,0.4371741426202793,0.5550147382986785,0.7056732221249313,0.6634999735853527,0.5779375777519113,0.4791859362778019,0.4157350664190506,0.3355949370029539,0.365436326518146,0.2104240219718968,
