uq_map_name,dataset_name,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,class_mean_w_equal_weights,class_mean_weighted_by_occurrence
2023-06-15_0472,weedsgalore_softmax_pu,0.20660337499339945,0.557798165719336,0.660439666011879,0.8170566934884268,0.948476766366224,0.9747193974441284,0.2941753781286363,0.39673233308941636,0.5497476258706759,0.7341827761886942,0.9452356909513372,0.890321934109676,0.7816934316593371,0.56148651195136,0.479075749795493,0.31542509710360134,0.2866677320630959
2023-06-15_0763,weedsgalore_softmax_pu,0.1909728009779125,0.5491394061840109,0.6492080807524365,0.8171467624297396,0.9482964279505366,0.9749724275797782,0.27163497509578055,0.3668252299321517,0.5177629320502388,0.706201364965464,0.9393005968949505,0.8458770596345063,0.6624094639207085,0.5067398265087296,0.45206805316896354,0.29491223312354675,0.2420947451066156
2023-06-15_0157,weedsgalore_softmax_pu,0.07742036306402535,0.5265808029252697,0.6218544582146149,0.815499656917876,0.9450239136242143,0.9723344601768136,0.11026376225168516,0.15320977318759937,0.24965119636301872,0.5391674190420842,0.8721720066946037,0.7485618980243574,0.5034595747555978,0.24433284965189436,0.19613313794883686,0.2778033836617261,0.26097056612469777
2023-06-15_1056,weedsgalore_softmax_pu,0.22521608519278788,0.5635469797223729,0.662475551946059,0.8218139080564516,0.9478535695722988,0.9741624928368005,0.3205172607791954,0.4287998129275738,0.5803491811081172,0.7524921160252093,0.9107100942556977,0.8378129237975835,0.641548602911125,0.4954392291646827,0.43941904930006487,0.33123593740221274,0.2983687026382425
2023-06-15_0454,weedsgalore_softmax_pu,0.2514060020823125,0.5501296442158702,0.6522502367714037,0.8181317795656926,0.949785593564523,0.9752585041146525,0.3580641467565797,0.4693939580981109,0.6006793262392599,0.7468816352996543,0.988468254231929,0.9473611428481863,0.8405109600740199,0.6529237907020071,0.5821598213762426,0.4052793560318006,0.36788370187629643
2023-06-15_0728,weedsgalore_softmax_pu,0.16537345325217234,0.5537294519830318,0.6520762146526802,0.8109670598528764,0.9474677142870794,0.9742601389113135,0.23585191799471292,0.32567987953283795,0.48475450234945555,0.6984445903316473,0.9441217074671243,0.8032888803400536,0.6973621220363898,0.5174146107299883,0.43346205096078083,0.2827786326754954,0.27623928671526676
2023-06-15_0996,weedsgalore_softmax_pu,0.2994037939440363,0.5633105919789461,0.660331283298398,0.8162942532404365,0.9480214450333965,0.9745228468275262,0.4197710618177161,0.529448939596508,0.6478338178976981,0.7859295096902764,0.929715632679608,0.7792668299478589,0.7088841027190229,0.5606467961467798,0.4908099981785048,0.3799074773439944,0.34540164234054527
2023-06-06_0197,weedsgalore_softmax_pu,0.04133520639186711,0.5263853684694196,0.6235111548329741,0.8063799378792101,0.9504634651630434,0.9739592427915459,0.05866284431122746,0.08134093033010288,0.1331875370418059,0.3660193507086888,0.7675316916941398,0.5625659454113825,0.38614872198122024,0.20884974797573544,0.16866456913321107,0.3175272589441475,0.30934129674802335
2023-06-06_0473,weedsgalore_softmax_pu,0.058057937296116836,0.5246405222061771,0.6221133256049606,0.8168084804566642,0.9522240982343704,0.9745911579503121,0.08274477496746058,0.11538953135972956,0.19080345473476584,0.4757941200299369,0.7709556456318303,0.544150990063826,0.3592188239329742,0.18039715214137583,0.1691644612205897,0.28946884062029166,0.28849697472679253
2023-06-06_0760,weedsgalore_softmax_pu,0.06303726801337206,0.5279894913437604,0.6281991742029308,0.7989298099015518,0.9427736392555923,0.9746601980217445,0.08967943022141582,0.12483276175037342,0.20556906853389945,0.493337363965891,0.8200055758888777,0.6370473635540059,0.46421494084241977,0.24228497568805932,0.19066645032449578,0.27349246429548185,0.26321284608364925
