Aggregator,AURC,AURC_std
Equally-w. class avg.,0.10896433419933325,0.0033431333916116046
Imbalance-w. class avg.,0.10896433419933325,0.0033431333916116046
Mean,0.12131493669885629,0.002824018927408312
Threshold 0.3,0.11447262884023293,0.004369546275941572
Threshold 0.5,0.11064075835890429,0.008175667482643624
Threshold 0.7,0.11452854017211578,0.007841222646175022
Quantile 0.6,0.12131493669885629,0.002824018927408312
Quantile 0.75,0.12131493669885629,0.002824018927408312
Quantile 0.9,0.12131183919770636,0.002826895722621799
Quantile fg. ratio,0.10434611649844812,0.004481619419683613
Patch 10,0.1203165391972849,0.0031084607888051037
Patch 20,0.12101243537633244,0.003019355147751703
Patch 50,0.12127359340354267,0.0028603946812405814
