Coverage,Equally-w. class avg. (Mean Risk),Equally-w. class avg. (Std Dev),Imbalance-w. class avg. (Mean Risk),Imbalance-w. class avg. (Std Dev),Mean (Mean Risk),Mean (Std Dev),Threshold 0.3 (Mean Risk),Threshold 0.3 (Std Dev),Threshold 0.4 (Mean Risk),Threshold 0.4 (Std Dev),Threshold 0.5 (Mean Risk),Threshold 0.5 (Std Dev),Quantile 0.6 (Mean Risk),Quantile 0.6 (Std Dev),Quantile 0.75 (Mean Risk),Quantile 0.75 (Std Dev),Quantile 0.9 (Mean Risk),Quantile 0.9 (Std Dev),Patch 10 (Mean Risk),Patch 10 (Std Dev),Patch 20 (Mean Risk),Patch 20 (Std Dev),Patch 50 (Mean Risk),Patch 50 (Std Dev)
0.0,0.11094403383897308,0.035080800940722745,0.47253651008731207,0.051998472217446065,0.2705627705627487,0.032467532467540916,0.3897113068352819,0.18038499457582824,0.08957389850753847,0.006361408507428807,0.25060444054205855,0.037267797678590356,0.23809523809521782,1.9614690709833747e-14,0.2380952380952397,1.2519210763074394e-14,0.2380952380952409,1.0213146713330455e-14,0.13536249014975268,0.05723320155071939,0.11507936507937161,0.08427285945077627,0.2857142857142849,0.08247860988424523
0.006711409395973154,0.11094403383897308,0.035080800940722745,0.47253651008731207,0.051998472217446065,0.2705627705627487,0.032467532467540916,0.3897113068352819,0.18038499457582824,0.08957389850753847,0.006361408507428807,0.25060444054205855,0.037267797678590356,0.23809523809521782,1.9614690709833747e-14,0.2380952380952397,1.2519210763074394e-14,0.2380952380952409,1.0213146713330455e-14,0.13536249014975268,0.05723320155071939,0.11507936507937161,0.08427285945077627,0.2857142857142849,0.08247860988424523
0.013422818791946308,0.23985470268711118,0.13703500635424992,0.5740372995984149,0.056779470560095344,0.3269891028511609,0.08920027059954763,0.3097558994433023,0.12574984455725086,0.1641398613010131,0.0074816967248155595,0.32157404642657783,0.11404649019073924,0.38772577996714913,0.15519236781026402,0.29720853858784974,0.17820726130705183,0.14682539682539825,0.02777777777777321,0.12364808048258259,0.053807012083885,0.1729917886887229,0.13722974108627536,0.3418534080298782,0.08000945025373862
0.020134228187919462,0.24010755577194082,0.08215401108995264,0.5957194268549593,0.021590209656570818,0.3367666815942605,0.09335376386871648,0.26866623028850933,0.11050067643142668,0.21256293003770244,0.053545049208217406,0.3926909021191307,0.13130938801531433,0.36933373140269016,0.04866481281835585,0.3373471994161655,0.016822400858643973,0.32547731736372804,0.033163568209253994,0.19320999558379065,0.04994857595826447,0.2504721946377978,0.02749443719736697,0.32369329676314945,0.08566567576060062
0.026845637583892617,0.28136269957576016,0.06768367396173286,0.5194353865359097,0.01505052586077303,0.3894854441253981,0.06946310254750841,0.2691889819859131,0.1254326081891339,0.24177565869100692,0.05999423940579714,0.3977603922566572,0.11940920136527193,0.3480787299245666,0.02308872177440309,0.34807872992457206,0.023088721774402875,0.39072486034643816,0.023012044626405714,0.2193122585926049,0.052691311896458155,0.27228494954977694,0.029651489630388505,0.3133809894149966,0.021009127946993996
0.03355704697986577,0.256324033509449,0.03682652484446202,0.49714807062462596,0.04057975705691019,0.36695635472257754,0.02599069195543125,0.3070763087336608,0.09707241261561476,0.30832767826941776,0.08300013356912408,0.3849909728230392,0.1318168863411391,0.37321300516026273,0.018367811056375437,0.37470110039836235,0.016110225068690687,0.3484956391929014,0.014721780251694086,0.24061249610873486,0.06712910655755003,0.32403136971328883,0.057691993916281735,0.2708014098894852,0.019322302451289918
0.040268456375838924,0.25411414086859,0.04687321839414916,0.453821673463199,0.02259540621815401,0.3726422003640527,0.04139586484237614,0.2960083240113682,0.0798116123093426,0.28772210135492443,0.07778807408527515,0.3881800483192849,0.1074549578672196,0.3558711856189003,0.02802210545761569,0.34218070942842777,0.014148520971965155,0.35596727519109667,0.008491528733286693,0.28573572361980637,0.02059015380917189,0.3571812391987036,0.021474555390381813,0.2390748685622173,0.011269938794414002
0.04697986577181208,0.24588344714175597,0.034121206152132336,0.45063310451755384,0.03325701775533462,0.3739412887874354,0.03169755451653009,0.3069485595302683,0.08665700297864719,0.3286243290449541,0.08784570130247457,0.3682866957615889,0.10206385065694885,0.34918255195937103,0.00807216829852294,0.34301712238288223,0.008259594035905527,0.3865236158893759,0.031218511000553895,0.2803460054888988,0.01783820022768164,0.35719683956758846,0.024451142347261676,0.2763358102241259,0.04114080441411541
0.053691275167785234,0.2749908021860047,0.02965592348617687,0.4404554334574468,0.03455905365247387,0.39332461520802825,0.009924936571890346,0.340983917231883,0.08695659916506047,0.35601311606843744,0.07571037976589301,0.379797733979245,0.07863278653205041,0.3912478250194535,0.005429875969045625,0.38909532498773325,0.006872834488235278,0.38909532498773336,0.0068728344882349945,0.3225361715297377,0.01668932502433948,0.34767447609199853,0.023299614400984315,0.29244013248392475,0.03648630555678606
0.06040268456375839,0.31148348065699394,0.013761334107899533,0.4274566369701839,0.03253968727287812,0.4017709411573265,0.015285319623095216,0.3213421148686586,0.07010227094286456,0.3594501662369459,0.04415991849281776,0.3835793241532155,0.055287255828623774,0.39733112634460455,0.017733310832375993,0.38095967913627754,0.00809598860391465,0.37436096722024415,0.006099968749703731,0.3309421280542504,0.014710021593193507,0.3599089756425202,0.020452092166124522,0.32288883777170385,0.018058054741829713
