,moran,entropy,eds
308,0.36479116144756796,0.17606848301625286,0.4324215170849925
235,0.37007023778938236,0.18113988457245567,0.43525580576523637
309,0.36542684670163916,0.14866517023190196,0.3899241778624175
254,0.3708554545968912,0.17277873203492913,0.40859078929785575
312,0.3849195418806023,0.14085092476263752,0.33263406728293143
207,0.36550710728189345,0.17694539943915372,0.445829249932373
258,0.36857783465911564,0.1778430071638535,0.4352976740499576
260,0.3787215296288963,0.21051479063110534,0.4709782242602002
238,0.37694848140139753,0.15947686364554994,0.38818644298454147
305,0.377041976822552,0.14878135546980395,0.3513082790774344
302,0.3675542529982106,0.18715962598856753,0.45821211588157484
226,0.38186550373422234,0.19964349936269604,0.4552992529430598
233,0.3709907827538907,0.13633710809025124,0.3404709832514466
202,0.37101377870123503,0.17669241178670464,0.41716292390120996
306,0.37623426254977954,0.19336898574532535,0.45477746088669074
219,0.3762014616203222,0.19859863066271616,0.4571613921172701
261,0.371136441359303,0.18314998519804473,0.45135655307970934
213,0.3757756412086392,0.19144911252027585,0.4547096644273523
215,0.3727326609524858,0.1870279852442216,0.45545230010941407
206,0.3723389917859399,0.1765775697872184,0.43272671479662467
216,0.3755363173782874,0.16037405663995266,0.37909713830269204
222,0.3853836743666596,0.1938227405142573,0.43683414264482234
220,0.3663006471415638,0.1839319517377606,0.4477113140528594
217,0.3694578984860161,0.1703856540679318,0.4084561967945165
259,0.3764073096965648,0.16590044561526968,0.4108846614729352
310,0.37166804954977933,0.17550022746981783,0.42702736254351875
210,0.38029494567362515,0.1735978329866872,0.41734712107523736
256,0.3734633039633249,0.18025254290024983,0.3847988540665475
253,0.3782265708469967,0.1511807121221561,0.3641017109440512
230,0.3671453440204152,0.1660131416711366,0.4191229027425066
221,0.3731417908876006,0.17930416591598158,0.4318873409250812
304,0.37879334183400903,0.17731833334057884,0.4308646743084458
228,0.37016937109741166,0.18653468544606935,0.4391503211857147
240,0.36752634159266967,0.18056062452255736,0.4369200651379245
311,0.37305815001820203,0.18714188483630204,0.4206943370012114
303,0.37626183347261,0.16773242442352718,0.3929674173743307
229,0.37071490643754174,0.1744989230828493,0.4215361914677743
239,0.3760606151963387,0.1918561467948323,0.43676849194749506
224,0.37543165401868983,0.183063267186099,0.43576862661129795
205,0.3703658864215891,0.1798333384955441,0.4510991552741774
231,0.37371160938552644,0.17922677926944458,0.44450824862329413
211,0.3704284864579462,0.18966230785452842,0.4685040333273207
223,0.3679376816271774,0.1692925223534674,0.4290774064987064
301,0.3693741389437419,0.16806568320022347,0.4168211800836291
227,0.36824825182559595,0.18203204263810172,0.4519739390335069
252,0.36690852740308594,0.18890421909504557,0.4414266920550714
212,0.37695549456112276,0.17277683912982134,0.415183483765131
204,0.37680373756964736,0.13802687757834334,0.3547695654795699
232,0.3764791669710508,0.17639932804015004,0.43329402153951097
214,0.3720151281101311,0.17725821963343405,0.4093848491588143
