Aggregator,AURC,AURC_std
Equally-w. class avg.,0.3927247983487859,0.0076405474430463185
Imbalance-w. class avg.,0.4203470072122616,0.01241718482873178
Mean,0.4198405404553065,0.011209168966645871
Threshold 0.3,0.40213871587590727,0.005202009191569103
Threshold 0.5,0.39356968629510897,0.005255803057174571
Threshold 0.7,0.4146529318878063,0.013348488473734377
Quantile 0.6,0.4082936473587184,0.008736687035997176
Quantile 0.75,0.4061733709333477,0.007656546561039615
Quantile 0.9,0.4031750514456286,0.006657211700697816
Quantile fg. ratio,0.4014606716160468,0.006939891694766681
Patch 10,0.4075564602909231,0.008744371777927881
Patch 20,0.4161100143602173,0.007324825470497324
Patch 50,0.40765634994651667,0.009823791289754396
