,moran,entropy,eds
308,0.3858203784531073,0.13677957287213038,0.28529078657402
235,0.38397068378729016,0.15330945867169027,0.32332477709035246
309,0.3835566268924424,0.10172728439454264,0.27037801117928434
254,0.38427588978769295,0.14788654806122,0.31602477727807715
312,0.40161817502701075,0.0928331992384813,0.2483062598875679
207,0.382232740925697,0.15079107203176684,0.2985751449382448
258,0.38685861672988636,0.14218589751223454,0.28763215006854775
260,0.38587670936562146,0.19304825855176852,0.35712166403244944
238,0.3948752657837252,0.11444393024975581,0.2506994099895165
305,0.40182928959988495,0.09141265652936836,0.21773049754038712
302,0.38451950913180905,0.14045133405798518,0.31540311956694933
226,0.4010157128945884,0.1269434682580451,0.2833637569187628
233,0.3987188629347578,0.06919859812107533,0.19490005529650253
202,0.3832076349904936,0.1537207684606435,0.29392822974148475
306,0.3877526128213794,0.16654144423068812,0.35147374446808877
219,0.389292092632098,0.15408461045129315,0.304749595007169
261,0.39067659215313,0.148986738514313,0.2964475787872202
213,0.3926314037186045,0.15593552610382333,0.33031572470567583
215,0.39432168897667036,0.14467078918967483,0.30165534909939945
206,0.38582354047567496,0.1560602739485939,0.3602014288010306
216,0.3928276274265828,0.12205168352685584,0.27351725814850797
222,0.3983847391066681,0.17198021109485173,0.3298185417920833
220,0.3817473127542339,0.15354023540611844,0.3452775065618381
217,0.3827857139692523,0.15180202792314718,0.3430992115255944
259,0.39454594409075316,0.10313203944936891,0.23825838060636478
310,0.38926287849759345,0.14535625999235735,0.31564773208843805
210,0.38658719853017404,0.15738156205419274,0.33492824720130304
256,0.3898481083114944,0.14832871882801166,0.29834535917185157
253,0.4033310930299509,0.10884318303767582,0.2519902760829323
230,0.3859878206051729,0.12699672419924168,0.2836471382568619
221,0.3908344801153004,0.1417754242835521,0.3048047716296962
304,0.3900666617717608,0.15769562209739735,0.3501253143091818
228,0.38668476828061127,0.16104585936521348,0.31128542458353703
240,0.3818358684076061,0.15369060843529986,0.3233897864969867
311,0.39221934408810233,0.14945961567772095,0.3072276596850422
303,0.3932866604200983,0.125584550412491,0.28459127110613236
229,0.38022213866473914,0.1635484476069939,0.3638400917292046
239,0.39245043629076815,0.16570812830852155,0.3432933440112873
224,0.3888527475837712,0.1547071564158856,0.3256941069326354
205,0.38515971560116435,0.14959794437489696,0.29792293169244505
231,0.390079940513386,0.14876720633431095,0.32003078174214405
211,0.39545122955560486,0.13566283267343687,0.26893256959055184
223,0.3807417520774723,0.14896776779388152,0.3284604404699302
301,0.3829214655022019,0.1439490226026892,0.3002538818301173
227,0.3895089047599944,0.14890931904663585,0.3083215164237699
252,0.38969066887462295,0.13939408098765335,0.2671509648640723
212,0.3910526042280427,0.14188002266395405,0.30706546921479005
204,0.401335424052392,0.07806729772691665,0.22207545188217515
232,0.3852335669534851,0.1635193200853933,0.35989035348772624
214,0.39143595945089926,0.1409766503136645,0.29000672146523987
