,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,above_quantile_mean_0.95,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,patch_aggregation_200
mean,1.0,-0.15707082833133254,-0.02914765906362545,0.27899787844081697,,,0.9876110444177671,0.9607202881152461,0.9380552220888355,0.8690996398559424,0.8256902761104442,0.3039135654261705,0.699015606242497,0.7144777911164466,0.7508763505402161,0.7638415366146458,0.8058103241296518
above_threshold_mean_0.3,-0.15707082833133254,1.0,0.26818727490996397,0.06834295138004806,,,-0.169171668667467,-0.15851140456182472,-0.13699879951980792,0.07630252100840336,0.22189675870348138,0.023577430972388954,0.022232893157262904,-0.1214405762304922,-0.19452581032412966,-0.16811524609843936,-0.15044417767106844
above_threshold_mean_0.5,-0.02914765906362545,0.26818727490996397,1.0,0.4177128566804827,,,0.011956782713085234,0.03567827130852341,0.03798319327731092,0.11308523409363745,0.18472989195678272,0.6937334933973589,0.4470108043217287,0.053445378151260506,0.12134453781512605,0.1440096038415366,0.1280672268907563
above_threshold_mean_0.7,0.27899787844081697,0.06834295138004806,0.4177128566804827,1.0,,,0.2963372507207752,0.31828815818157336,0.3407924498640723,0.3867233402652382,0.38949026137374215,0.4802452737326724,0.38985918418820936,0.28969664006036566,0.2865607961373945,0.3035312456028855,0.33839445157003556
above_threshold_mean_0.9,,,,,,,,,,,,,,,,,
above_threshold_mean_0.95,,,,,,,,,,,,,,,,,
above_quantile_mean_0.3,0.9876110444177671,-0.169171668667467,0.011956782713085234,0.2963372507207752,,,1.0,0.986266506602641,0.9696518607442978,0.8957983193277311,0.8482593037214886,0.3224489795918367,0.7401200480192077,0.7721968787515006,0.8124369747899159,0.8276110444177671,0.867563025210084
above_quantile_mean_0.5,0.9607202881152461,-0.15851140456182472,0.03567827130852341,0.31828815818157336,,,0.986266506602641,1.0,0.9942376950780312,0.9176950780312125,0.8656422569027611,0.3372388955582233,0.769123649459784,0.8251140456182473,0.8578631452581033,0.8702521008403361,0.9065546218487395
above_quantile_mean_0.7,0.9380552220888355,-0.13699879951980792,0.03798319327731092,0.3407924498640723,,,0.9696518607442978,0.9942376950780312,1.0,0.9306602641056423,0.8794717887154861,0.33675870348139253,0.7735414165666267,0.8473949579831933,0.871500600240096,0.8832172869147659,0.913469387755102
above_quantile_mean_0.9,0.8690996398559424,0.07630252100840336,0.11308523409363745,0.3867233402652382,,,0.8957983193277311,0.9176950780312125,0.9306602641056423,1.0,0.980984393757503,0.33983193277310925,0.7143817527010804,0.7708523409363746,0.7971668667466987,0.8240576230492197,0.8574789915966387
above_quantile_mean_0.95,0.8256902761104442,0.22189675870348138,0.18472989195678272,0.38949026137374215,,,0.8482593037214886,0.8656422569027611,0.8794717887154861,0.980984393757503,1.0,0.35577430972388957,0.7157262905162065,0.7181272509003601,0.7309003601440576,0.7645138055222089,0.794093637454982
patch_aggregation_10,0.3039135654261705,0.023577430972388954,0.6937334933973589,0.4802452737326724,,,0.3224489795918367,0.3372388955582233,0.33675870348139253,0.33983193277310925,0.35577430972388957,1.0,0.6307322929171668,0.3043937575030012,0.31034813925570226,0.295750300120048,0.33282112845138057
patch_aggregation_20,0.699015606242497,0.022232893157262904,0.4470108043217287,0.38985918418820936,,,0.7401200480192077,0.769123649459784,0.7735414165666267,0.7143817527010804,0.7157262905162065,0.6307322929171668,1.0,0.7537575030012005,0.7213925570228091,0.7144777911164466,0.7372388955582233
patch_aggregation_40,0.7144777911164466,-0.1214405762304922,0.053445378151260506,0.28969664006036566,,,0.7721968787515006,0.8251140456182473,0.8473949579831933,0.7708523409363746,0.7181272509003601,0.3043937575030012,0.7537575030012005,1.0,0.8847539015606243,0.8419207683073229,0.8372148859543818
patch_aggregation_80,0.7508763505402161,-0.19452581032412966,0.12134453781512605,0.2865607961373945,,,0.8124369747899159,0.8578631452581033,0.871500600240096,0.7971668667466987,0.7309003601440576,0.31034813925570226,0.7213925570228091,0.8847539015606243,1.0,0.981656662665066,0.9309483793517407
patch_aggregation_100,0.7638415366146458,-0.16811524609843936,0.1440096038415366,0.3035312456028855,,,0.8276110444177671,0.8702521008403361,0.8832172869147659,0.8240576230492197,0.7645138055222089,0.295750300120048,0.7144777911164466,0.8419207683073229,0.981656662665066,1.0,0.9459303721488596
patch_aggregation_200,0.8058103241296518,-0.15044417767106844,0.1280672268907563,0.33839445157003556,,,0.867563025210084,0.9065546218487395,0.913469387755102,0.8574789915966387,0.794093637454982,0.33282112845138057,0.7372388955582233,0.8372148859543818,0.9309483793517407,0.9459303721488596,1.0
