Aggregator,AURC,AURC_std
Equally-w. class avg.,0.05407178148858036,0.00010020442055486828
Imbalance-w. class avg.,0.057961935426791504,0.00026820145141426277
Mean,0.057554015173279516,0.00014263386163101618
Threshold 0.3,0.056419524893071095,0.0019106241985047123
Threshold 0.5,0.059241738113398466,0.0032199341131894654
Threshold 0.7,0.06140712648817931,0.001054545738408623
Quantile 0.6,0.0575444873621795,8.166574747864655e-05
Quantile 0.75,0.057227854343325855,0.00021401754660190647
Quantile 0.9,0.056229016258243544,0.0008573363157825635
Quantile fg. ratio,0.055970091405162056,5.0384332580810653e-05
Patch 10,0.0549521756930738,0.0007241617994383463
Patch 20,0.05630899256979626,0.0012972972622962778
Patch 50,0.05737921140956879,0.0004596052514766191
