uq_map_name,dataset_name,noise_level,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,above_quantile_mean_fg_ratio,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}","class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}"
crag_57_TILE_4,joint_noise_lizard_instance_glas_set_ensemble_pu_0_00,0_00,0.40525562703896867,0.7466991922367273,0.8114932261472627,0.8802115684668524,0.9914934360249494,1.0207943591957505,0.577362851841898,0.7565646635165548,0.8920660088192716,1.016279452591116,0.8821235308484369,1.0421630859375002,0.9664080810546872,0.826381950378418,0.6109190981090069,0.5194310007214546,0.6973530787251163,0.6736797989687451
crag_57_TILE_16,joint_noise_lizard_instance_glas_set_ensemble_pu_0_00,0_00,0.4041165101243678,0.7309767770688247,0.7990988928109386,0.8717402841343074,0.990645605443652,1.019725406590993,0.5740221223337449,0.7441246444799932,0.877014641138975,1.0048549657306993,0.8708848525837869,1.032001953125,0.8756378173828125,0.7684585571289062,0.66387175321579,0.6272758464813234,0.705405462250777,0.6872483481960554
crag_57_TILE_19,joint_noise_lizard_instance_glas_set_ensemble_pu_0_00,0_00,0.3433406785934494,0.7677414388442493,0.8277969219705777,0.8926832434964427,0.9955113941359099,1.0226049178685896,0.4904087195578111,0.6788594905855716,0.8792511104252466,1.0188168988444257,0.9124977966930495,1.0481201171875,0.9547003173828124,0.8851811981201172,0.650368952304125,0.5505146612763405,0.7356849087920632,0.7117836588546607
crag_57_TILE_34,joint_noise_lizard_instance_glas_set_ensemble_pu_0_00,0_00,0.4513242866978544,0.7454202240513319,0.8039605735440793,0.87249139682231,0.9878663292609047,1.0172640925338743,0.6412880732980671,0.7984875554563099,0.9020921007869594,1.0150361135999695,0.8835591204353933,1.0431250000000003,0.94990478515625,0.8128734397888183,0.6919473189115526,0.6565714370727541,0.7190955953738614,0.7143923868153641
crag_57_TILE_35,joint_noise_lizard_instance_glas_set_ensemble_pu_0_00,0_00,0.28990216324473295,0.7437507825084673,0.803578100118217,0.8735429906734896,0.9886535624327624,1.017880556473912,0.41405783061089807,0.5782048832625151,0.8165555525759598,0.981057126675297,0.8832910443233103,1.0086669921875,0.963839111328125,0.7439593029022216,0.6266564613580706,0.5796545535564424,0.7063082961788967,0.696643175100164
crag_45_TILE_10,joint_noise_lizard_instance_glas_set_ensemble_pu_0_00,0_00,0.19003441300719714,0.714835458609378,0.7982210951461092,0.8783871175120842,0.9924351514968197,1.0193170981541202,0.2710268212878119,0.37740170592609834,0.605856209317346,0.9224537643344255,0.8520584873372788,1.0264990234375,0.8799296569824215,0.6139246737957,0.3804544705711305,0.31019142376184466,0.7029607221324023,0.672619962294137
crag_45_TILE_14,joint_noise_lizard_instance_glas_set_ensemble_pu_0_00,0_00,0.3600531935935578,0.7384486410698078,0.818281766842524,0.8867793922551331,0.9923173945488545,1.0209766389296513,0.5122190552915218,0.6887500826963973,0.869230809330516,1.00921703365348,0.8992110721100911,1.0298046875,0.9070640563964844,0.6851334619522095,0.5373401354998351,0.5064719278812408,0.711368845496462,0.675916208380612
crag_45_TILE_28,joint_noise_lizard_instance_glas_set_ensemble_pu_0_00,0_00,0.2588537017272756,0.7292217982297687,0.8232330024882046,0.899382907710985,0.9990622686653976,1.0238336423022598,0.3685879256140815,0.5090215483343307,0.7520565131716977,0.9882660563796523,0.9248347233599206,1.0597998046875003,0.9642156982421874,0.7274717998504638,0.4252600480616093,0.3703322593152524,0.7565499922492979,0.7344741317674577
crag_12_TILE_26,joint_noise_lizard_instance_glas_set_ensemble_pu_0_00,0_00,0.24040923721713625,0.7234464842564612,0.805519581203311,0.8750908216493412,0.9878502089742551,1.0171301619622597,0.3432311751261042,0.4783569003465487,0.72569314238318,0.9536251887336153,0.8357486449677334,1.009619140625,0.8555511474609372,0.684246221780777,0.3678174043260515,0.32033495927453043,0.6825641965475928,0.6180822193154656
crag_12_TILE_31,joint_noise_lizard_instance_glas_set_ensemble_pu_0_00,0_00,0.2115954066221093,0.7022004595497301,0.781346333749109,0.8627771386739176,0.9870277624799738,1.0156799652190012,0.3020782786273177,0.420658441938785,0.6570611510802087,0.9168326286834781,0.8110596914256281,1.0117724609375,0.9120306396484374,0.7402693641185759,0.411552447974682,0.3475327050745487,0.6477970475024021,0.6187094905850522
crag_47_TILE_8,joint_noise_lizard_instance_glas_set_ensemble_pu_0_00,0_00,0.2595895000913515,0.7018381852725661,0.7700527057475341,0.8499246492518406,0.9836492288746363,1.0158720292737657,0.3703879977901152,0.5143572646959693,0.746505977881669,0.929347279665131,0.8247997884264507,0.965361328125,0.7978736877441406,0.4778813721239567,0.3358735132124275,0.3080746104896069,0.6937570338431147,0.6926649772175257
