uq_map_name,dataset_name,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,above_quantile_mean_fg_ratio,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,class_mean_w_equal_weights,class_mean_weighted_by_occurrence
0014_01,lidc_fgbg_malignancy_1_00_dropout_pu,0.012530050223442783,0.4789595141702769,0.5565110163868598,0.0,0.0,0.0,0.012530050223442783,0.02506010044688556,0.04176003719708839,0.12517825766155632,0.6810089349746704,0.4303872261930882,0.12790471333657336,0.03207692813134551,0.008019232143003385,0.005132308571522165,0.0,0.0
0026_00,lidc_fgbg_malignancy_1_00_dropout_pu,0.012364230874363558,0.5035999334033798,0.6147901993809324,0.0,0.0,0.0,0.012364230874363558,0.024728461748727115,0.04120739598160548,0.12352060626949757,0.25578034840797254,0.22071452868825872,0.12391781426112258,0.031652430530661926,0.00791310775959268,0.005064388966139315,0.14503729028314152,0.14503729028314152
0027_00,lidc_fgbg_malignancy_1_00_dropout_pu,0.007275408682902951,0.5517884334549308,0.6172551901444144,0.0,0.0,0.0,0.007275408682902951,0.014550817365805902,0.024247415756851496,0.07268310703776373,0.19745143683316807,0.12170210417668384,0.07449529681472045,0.01862504615819411,0.0046562615570578895,0.00298000739651705,0.09174393863187712,0.09174393863187712
0027_05,lidc_fgbg_malignancy_1_00_dropout_pu,0.008642032188062098,0.5224083297106684,0.6329494439638578,0.0,0.0,0.0,0.008642032188062098,0.017284064376124193,0.028802086120669125,0.08633600861135293,0.3266968915525537,0.18524885980355518,0.0884605095116552,0.022123596728889125,0.005530900600359743,0.003539776384230236,0.16573001738943452,0.16573001738943452
0034_00,lidc_fgbg_malignancy_1_00_dropout_pu,0.03913521085361149,0.5465754173101128,0.6066148251459743,0.0,0.0,0.0,0.03913521085361149,0.078270421707223,0.13042947408982317,0.3898457705474845,0.545635727431738,0.5667442926764488,0.35649664995657504,0.10018613399927669,0.02504653494631136,0.016029782365639275,0.4440875994354649,0.4440875994354649
0054_02,lidc_fgbg_malignancy_1_00_dropout_pu,0.010694207255270833,0.5258254408836365,0.617564056858872,0.0,0.0,0.0,0.010694207255270833,0.021388414510541666,0.03564155648298562,0.1068370144508707,0.22261278870014045,0.17138872806601924,0.1083605070712152,0.027288046517477647,0.006844292643373336,0.004380347291758935,0.1239761945236284,0.1239761945236284
0056_09,lidc_fgbg_malignancy_1_00_dropout_pu,0.00717655214808851,0.5071635667015525,0.6227797480190501,0.0,0.0,0.0,0.00717655214808851,0.01435310429617702,0.023917947598511426,0.07169550430711613,0.20109350701215967,0.12629855351605473,0.07312435346774937,0.018371972717094134,0.004592993374776647,0.002939515759857055,0.1121341211582292,0.1121341211582292
0062_01,lidc_fgbg_malignancy_1_00_dropout_pu,0.004898761513520759,0.5288753245885556,0.6167225725948811,0.0,0.0,0.0,0.004898761513520759,0.009797523027041516,0.016326547729358033,0.048939822338532155,0.15074159172442356,0.10805034371563042,0.049805993789254065,0.012540816770477858,0.0031352073686532855,0.0020065327159381036,0.08041677111261465,0.08041677111261465
0068_00,lidc_fgbg_malignancy_1_00_dropout_pu,0.01109609509606909,0.5407217474360215,0.6253576742278205,0.0,0.0,0.0,0.01109609509606909,0.022192190192138184,0.036980964616353945,0.11084907414705213,0.27151802823775345,0.1749075595737179,0.11248774572045296,0.028342866210655182,0.007101500861484219,0.004544960551349901,0.12451789724309281,0.12451789724309281
0070_00,lidc_fgbg_malignancy_1_00_dropout_pu,0.004242018682837677,0.4887588095664978,0.6331521153450013,0.0,0.0,0.0,0.004242018682837677,0.008484037365675354,0.014137761208220606,0.04237880128018119,0.22912987161427736,0.14296234872009658,0.043072467516792556,0.010859545418877714,0.002714891957016114,0.001737530852490314,0.1290070737826847,0.1290070737826847
0071_00,lidc_fgbg_malignancy_1_00_dropout_pu,0.005097753846228157,0.5475203952063685,0.6339175999164581,0.0,0.0,0.0,0.005097753846228157,0.010195507692456316,0.016989747562368214,0.05092780422106903,0.1890483058481054,0.11904777259993482,0.05184381840950405,0.013050249833340775,0.0032625624615860217,0.002088039975415054,0.13487769334674046,0.13487769334674046
0079_05,lidc_fgbg_malignancy_1_00_dropout_pu,0.004045706557291759,0.5618442334234715,0.6678038537502289,0.0,0.0,0.0,0.004045706557291759,0.008091413114583518,0.01348349394521322,0.040417595240496706,0.1513276975302863,0.08902223787254583,0.04142762840681815,0.010356989775388941,0.0025892521966667265,0.0016571214058667056,0.08294393109565498,0.08294393109565498
0087_00,lidc_fgbg_malignancy_1_00_dropout_pu,0.03306954498609373,0.5638097905068903,0.626448845184302,0.0,0.0,0.0,0.03306954498609373,0.06613908997218745,0.11021387816358007,0.3302181275283191,0.6648640349657848,0.5928896358609197,0.33276282975983934,0.08465803516260845,0.021164508791099986,0.013545285626303995,0.5494063147672951,0.5494063147672951
0097_00,lidc_fgbg_malignancy_1_00_dropout_pu,0.06721619308887275,0.5906218440345165,0.6367431601111808,0.0,0.0,0.0,0.06721619308887275,0.13443238617774553,0.22401751577870038,0.61224324216203,0.6711623227065392,0.6204915139079094,0.5360866390585107,0.17207344864977778,0.04301836357687857,0.027531752689202296,0.529302292340606,0.529302292340606
0103_00,lidc_fgbg_malignancy_1_00_dropout_pu,0.01591541473421847,0.5037066531181336,0.6152128256284274,0.0,0.0,0.0,0.01591541473421847,0.03183082946843694,0.053042749187436004,0.15899887341829216,0.36236659301952884,0.3238272827781654,0.16252174094654312,0.04074346151908019,0.010185865429899821,0.006518953875135888,0.22358634187073081,0.22358634187073081
0103_02,lidc_fgbg_malignancy_1_00_dropout_pu,0.005909276728794544,0.5645009428262711,0.6309548144539198,0.0,0.0,0.0,0.005909276728794544,0.011818553457589087,0.019694383629896218,0.05903511579887211,0.2651071726794836,0.15675095704209074,0.06050875685073326,0.015127533162505782,0.003781937106428508,0.002420439748114246,0.13888473293437664,0.13888473293437664
0113_01,lidc_fgbg_malignancy_1_00_dropout_pu,0.006119905283129128,0.5268245227634907,0.585047443707784,0.0,0.0,0.0,0.006119905283129128,0.012239810566258258,0.02039636455630342,0.06113934633145537,0.2703393203421281,0.1562069918307884,0.06263911121506655,0.01566695752180671,0.003916739381202642,0.0025067132039696912,0.14361738497874663,0.14361738497874663
0115_00,lidc_fgbg_malignancy_1_00_dropout_pu,0.010699888329980155,0.5612560861877033,0.630188945092653,0.0,0.0,0.0,0.010699888329980155,0.02139977665996031,0.035660490317004655,0.10689449398944299,0.25531996550223635,0.1842606695520794,0.10950794432934216,0.027391714052192952,0.0068479285311873,0.004382674259959873,0.1569223736426276,0.1569223736426276
0117_01,lidc_fgbg_malignancy_1_00_dropout_pu,0.013942311688085646,0.5522028895524832,0.6204578359921773,0.0,0.0,0.0,0.013942311688085646,0.027884623376171293,0.04646680933637006,0.13915469626776827,0.17639306814247824,0.18011990494527594,0.11685584764976772,0.035692317818028466,0.008923079480374817,0.005710770867439883,0.0966374773321658,0.0966374773321658
0117_02,lidc_fgbg_malignancy_1_00_dropout_pu,0.008129166528898705,0.524765222571617,0.6103404474258423,0.0,0.0,0.0,0.008129166528898705,0.016258333057797406,0.027092812125605454,0.0812123562963146,0.23185118087860462,0.134080544063098,0.08320752455813855,0.020810666223515108,0.005202666578495171,0.0033297066102369113,0.11524869309909411,0.11524869309909411
0126_00,lidc_fgbg_malignancy_1_00_dropout_pu,0.012762676229588106,0.5221310261590981,0.6297441111369566,0.0,0.0,0.0,0.012762676229588106,0.02552535245917622,0.04253533103042546,0.12750224835387144,0.39057042700005695,0.2943816219753352,0.13068786079351669,0.03267244889269916,0.008168112786936391,0.005227592183639292,0.28064190583563686,0.28064190583563686
0147_04,lidc_fgbg_malignancy_1_00_dropout_pu,0.00536473866071599,0.5723910248279571,0.623680946074034,0.0,0.0,0.0,0.00536473866071599,0.010729477321431983,0.01787955211903393,0.053595047270451036,0.19220022703398412,0.1251198944853884,0.0549300831880498,0.013733730811884542,0.0034334327428582356,0.0021973969554292708,0.12034851909537171,0.12034851909537171
0151_01,lidc_fgbg_malignancy_1_00_dropout_pu,0.00853076464032499,0.5392652562884397,0.6442885788587424,0.0,0.0,0.0,0.00853076464032499,0.017061529280649978,0.028431254651563192,0.08522365877335865,0.21399482932543348,0.14310554020341984,0.08613858743960179,0.021838757340023315,0.005459689369807994,0.0034942011966771175,0.11513050231130187,0.11513050231130187
0151_02,lidc_fgbg_malignancy_1_00_dropout_pu,0.008684622498538179,0.5414591087235345,0.6226046023697689,0.0,0.0,0.0,0.008684622498538179,0.017369244997076358,0.028944030719294044,0.08676145612100448,0.21273340001500335,0.1552811009559788,0.08830340931549824,0.02223261603174626,0.005558158399064436,0.0035572213754012393,0.11202713653124181,0.11202713653124181
0161_01,lidc_fgbg_malignancy_1_00_dropout_pu,0.003691573967570661,0.49348073938618536,0.5872392505407333,0.0,0.0,0.0,0.003691573967570661,0.0073831479351413225,0.012303244077436475,0.03687972412321858,0.20809130310468996,0.10922948880025668,0.037761065100703435,0.009450426843731612,0.0023626073392452236,0.0015120686971169435,0.08368343963564179,0.08368343963564179
0164_00,lidc_fgbg_malignancy_1_00_dropout_pu,0.0061741354169111765,0.4388731532626682,0.5491406108651843,0.0,0.0,0.0,0.0061741354169111765,0.012348270833822355,0.020577102251967603,0.061681118700647936,0.6466161012649536,0.24298011665043215,0.06322293982774398,0.01580578596002226,0.003951446666823153,0.0025289258667668194,0.0,0.0
0172_00,lidc_fgbg_malignancy_1_00_dropout_pu,0.012182862474396063,0.5457013239936223,0.6380210593342781,0.0,0.0,0.0,0.012182862474396063,0.024365724948792127,0.04060293303102219,0.12168333537304467,0.2064931012534847,0.17769754448026315,0.1098696619162686,0.031188127916124544,0.007797031983613482,0.004990100469512629,0.10213790768112704,0.10213790768112704
0180_00,lidc_fgbg_malignancy_1_00_dropout_pu,0.015443314028366566,0.5374197993351488,0.627566433343731,0.0,0.0,0.0,0.015443314028366566,0.030886628056733128,0.05146933625727376,0.15428247328907396,0.6084322501783785,0.41962733870139346,0.158116878108314,0.03953488272972355,0.009883720978154603,0.006325581426018948,0.4109003250149713,0.4109003250149713
0184_01,lidc_fgbg_malignancy_1_00_dropout_pu,0.010437866075152735,0.5476542387543053,0.6193455304854956,0.0,0.0,0.0,0.010437866075152735,0.02087573215030547,0.03478722493395086,0.10427682775110779,0.30142404390498995,0.200065519210857,0.10604052856500253,0.026717093858199065,0.006680234288097751,0.004275349944382562,0.16748234081045926,0.16748234081045926
0188_03,lidc_fgbg_malignancy_1_00_dropout_pu,0.03187024254300478,0.5447591551835986,0.6179912134453103,0.0,0.0,0.0,0.03187024254300478,0.06374048508600955,0.1062168539106164,0.31833173400699727,0.5653808181563382,0.5121256877668202,0.31893269567494104,0.08158643458014322,0.02039695522752306,0.013054051345614763,0.3864053612323626,0.3864053612323626
0189_03,lidc_fgbg_malignancy_1_00_dropout_pu,0.013561808840335959,0.5093904747204347,0.6030814266867108,0.0,0.0,0.0,0.013561808840335959,0.027123617680671917,0.04519867291295044,0.13533143532042188,0.17355195213732094,0.14169537555048006,0.1157399441744822,0.03471823063116028,0.008679557657815015,0.005554916901001612,0.10729612797413698,0.10729612797413698
0195_01,lidc_fgbg_malignancy_1_00_dropout_pu,0.013248480093211406,0.5447353347142537,0.626518571863369,0.0,0.0,0.0,0.013248480093211406,0.026496960186422808,0.04415441371992995,0.13235554713308043,0.27256033525406737,0.1951695799530375,0.13147553670128637,0.03391610877955656,0.008479027259655299,0.005426577446179392,0.14552414157765317,0.14552414157765317
0195_02,lidc_fgbg_malignancy_1_00_dropout_pu,0.008519030258622173,0.5212065910591799,0.6038515965143839,0.0,0.0,0.0,0.008519030258622173,0.017038060517244352,0.02839214641116064,0.08510719006887758,0.27706850647181275,0.18044203560592176,0.08723311120919013,0.02180867481650798,0.005452179365518193,0.003489394793931644,0.16977238024697147,0.16977238024697147
0196_01,lidc_fgbg_malignancy_1_00_dropout_pu,0.005718529753546054,0.49958809117476144,0.6039818780762809,0.0,0.0,0.0,0.005718529753546054,0.011437059507092107,0.019058663849084324,0.05712942395839768,0.2303056151792407,0.1337697053982794,0.05739399776879389,0.014639378362727369,0.0036598590422694754,0.0023423097870524643,0.12481450265205997,0.12481450265205997
0196_03,lidc_fgbg_malignancy_1_00_dropout_pu,0.009968155090711077,0.5283691075113085,0.6137596049479076,0.0,0.0,0.0,0.009968155090711077,0.01993631018142216,0.03322177644552692,0.09958422401090579,0.16861211847807608,0.16602355139024436,0.10201683997592868,0.02551820459160265,0.006379619258055092,0.004082956325155261,0.11375396143377348,0.11375396143377348
0196_04,lidc_fgbg_malignancy_1_00_dropout_pu,0.006206328897416021,0.513846524737098,0.6248599721325768,0.0,0.0,0.0,0.006206328897416021,0.012412657794832043,0.02068439639041173,0.0620027392620248,0.2391348751439225,0.15134560093942442,0.06170055108488997,0.015690831211156938,0.0039720504943462544,0.0025421123163816032,0.12416307174863245,0.12416307174863245
0197_00,lidc_fgbg_malignancy_1_00_dropout_pu,0.0067295185338932355,0.5211177708172217,0.6346275754596876,0.0,0.0,0.0,0.0067295185338932355,0.01345903706778647,0.022428078042983475,0.06722953148244387,0.3033770140674379,0.17257992301732558,0.06854623416490854,0.017227567326287,0.004306891861691671,0.00275641079148267,0.13273401341323302,0.13273401341323302
0205_00,lidc_fgbg_malignancy_1_00_dropout_pu,0.008504378046031838,0.5329448333446015,0.6200819253921509,0.0,0.0,0.0,0.008504378046031838,0.017008756092063676,0.028343313650566648,0.08496071413675947,0.41220878561337787,0.2540563806351565,0.08629434957739701,0.021770348777848145,0.005442801949460376,0.003483393247654643,0.25072139317169784,0.25072139317169784
0207_01,lidc_fgbg_malignancy_1_00_dropout_pu,0.005451185461280802,0.5044844849035144,0.5947246708368,0.0,0.0,0.0,0.005451185461280802,0.010902370922561603,0.018167661228157984,0.05445867230696628,0.23934449571415142,0.1648318520536102,0.0553394062969294,0.013954972777401533,0.0034887586952197136,0.0022328055649406173,0.1505814261354233,0.1505814261354233
0212_00,lidc_fgbg_malignancy_1_00_dropout_pu,0.02269577426338941,0.5182701337969664,0.6306626841877446,0.0,0.0,0.0,0.02269577426338941,0.04539154852677882,0.07564026963616194,0.2263198738009101,0.3459759996690619,0.31771271385190614,0.20786454412267286,0.05810115766508019,0.014525295528569224,0.009296189138284306,0.2149050059012416,0.2149050059012416
0230_01,lidc_fgbg_malignancy_1_00_dropout_pu,0.010095779063487974,0.5056873261928558,0.6144604782263438,0.0,0.0,0.0,0.010095779063487974,0.020191558126975945,0.03364712045894771,0.10083559901260476,0.16468698176065363,0.1298165829073065,0.08272675327463984,0.025780314664665887,0.006461298600632303,0.0041352311044046755,0.09163496581884929,0.09163496581884929
