Aggregator,AUROC,AUROC_std,Noise_Level
Quantile fg. ratio,0.6248,0.013891004283348277,0_25
Imbalance-w. class avg.,0.6125,0.031840069095402435,0_25
Equally-w. class avg.,0.5981,0.035148115169949014,0_25
Quantile 0.75,0.5758,0.011525623627379114,0_25
Quantile 0.6,0.5757000000000001,0.008377947242612623,0_25
Quantile 0.9,0.5724,0.018369540005128082,0_25
Mean,0.5708,0.00728285658241328,0_25
Threshold 0.3,0.5526,0.02474590875276155,0_25
Patch 50,0.5525,0.009799489782636627,0_25
Patch 20,0.5428999999999999,0.019960711410167704,0_25
Patch 10,0.5308999999999999,0.013874797295816664,0_25
Threshold 0.5,0.5074,0.012817175976009674,0_25
Threshold 0.4,0.49060000000000004,0.048590945658630674,0_25
Quantile fg. ratio,0.8224,0.01613691420315541,0_50
Imbalance-w. class avg.,0.7884,0.045805676504119035,0_50
Equally-w. class avg.,0.7545,0.05225887484437445,0_50
Quantile 0.9,0.7188999999999999,0.02149674393949004,0_50
Quantile 0.75,0.7088,0.015453155017665456,0_50
Quantile 0.6,0.6979,0.012841728855570793,0_50
Mean,0.685,0.01346551150161033,0_50
Patch 50,0.6553,0.02881579428022071,0_50
Threshold 0.3,0.6476,0.08070687703039932,0_50
Patch 20,0.6352,0.032908357601071504,0_50
Patch 10,0.5992999999999999,0.02258030114945323,0_50
Threshold 0.5,0.51775,0.02530192680409935,0_50
Threshold 0.4,0.5157999999999999,0.102149889867782,0_50
Quantile fg. ratio,0.9798,0.008678709581498878,0_75
Imbalance-w. class avg.,0.97,0.007568355171369762,0_75
Equally-w. class avg.,0.9431,0.020685018733373185,0_75
Quantile 0.9,0.9223000000000001,0.014439875345722327,0_75
Quantile 0.75,0.9092,0.01842823919966312,0_75
Quantile 0.6,0.8841000000000001,0.017788479417870408,0_75
Mean,0.8492,0.01970177656963961,0_75
Patch 50,0.8181,0.03430612190265757,0_75
Threshold 0.3,0.7823,0.13431943269683652,0_75
Patch 20,0.7805,0.05417850127126073,0_75
Patch 10,0.6990000000000001,0.05705751484248153,0_75
Threshold 0.4,0.5847000000000001,0.15305538213339642,0_75
Threshold 0.5,0.53975,0.04701263128139074,0_75
Quantile fg. ratio,1.0,0.0,1_00
Quantile 0.9,0.9984999999999999,0.0021610182784974692,1_00
Quantile 0.75,0.9924999999999999,0.0037669616403674284,1_00
Imbalance-w. class avg.,0.9784999999999999,0.007886063656856977,1_00
Quantile 0.6,0.9782000000000001,0.009742689567054895,1_00
Patch 50,0.9595,0.015547025438970633,1_00
Patch 20,0.9443,0.01923200457570664,1_00
Mean,0.9438,0.017014111789923098,1_00
Equally-w. class avg.,0.9319,0.020601698959066467,1_00
Threshold 0.3,0.8819,0.1916693767924339,1_00
Patch 10,0.847,0.03726285013253817,1_00
Threshold 0.4,0.6623,0.13294401077145218,1_00
Threshold 0.5,0.57335,0.11040682723455106,1_00
